frame_idx,t_ns
0,0
1,30267500
2,63054250
3,96687709
4,129184667
5,195674292
6,231179542
7,260232000
8,296586167
9,329247834
10,360168250
11,392279542
12,428109542
13,459177084
14,491819542
15,523837459
16,558070417
17,590264459
18,625280542
19,656423959
20,689576167
21,722277167
22,755667375
23,787338084
24,821426375
25,853535584
26,887013667
27,919391542
28,952674667
29,986162125
30,1019919042
31,1051739750
32,1085724917
33,1118626709
34,1150655042
35,1184601709
36,1219156000
37,1249613584
38,1283442125
39,1316251167
40,1350581375
41,1385736292
42,1419384792
43,1448619750
44,1482112792
45,1517868625
46,1549324834
47,1581975042
48,1614687709
49,1646270917
50,1678944292
51,1713494417
52,1745637625
53,1778195500
54,1812638167
55,1844701542
56,1877984584
57,1910639292
58,1943562917
59,1976852750
60,2011341084
61,2043496417
62,2076388125
63,2109400459
64,2142367917
65,2175864209
66,2211251500
67,2241392792
68,2273847625
69,2306791084
70,2339726834
71,2375535834
72,2410366375
73,2443473209
74,2474668292
75,2508176250
76,2538806167
77,2571266292
78,2604092834
79,2642101250
80,2669613792
81,2707564750
82,2738687959
83,2772093834
84,2804707459
85,2835623334
86,2869114375
87,2901364334
88,2934460000
89,2965918750
90,3001278917
91,3032601000
92,3065971542
93,3098567167
94,3131713584
95,3164798959
96,3198961584
97,3231864834
98,3264160084
99,3297485209
100,3329848750
101,3362811125
102,3401038375
103,3430737000
104,3500861125
105,3533332917
106,3562660167
107,3594467584
108,3632581584
109,3657970459
110,3695845834
111,3734011292
112,3763875084
113,3793752917
114,3827438417
115,3862217959
116,3891074459
117,3923067209
118,3957317250
119,3991678209
120,4024006709
121,4055083542
122,4087903000
123,4121067542
124,4154054167
125,4187583875
126,4222027667
127,4254121375
128,4287232584
129,4320486834
130,4352804250
131,4385809292
132,4420273667
133,4451898542
134,4485220334
135,4517826084
