frame_idx,t_ns
0,0
1,35448334
2,66264292
3,99313250
4,132461625
5,164789667
6,197929459
7,232539667
8,265065459
9,297064625
10,329927000
11,361131584
12,394596750
13,427854334
14,462383167
15,494754500
16,527250417
17,560130459
18,593946667
19,626343000
20,660793459
21,692197417
22,725401125
23,758633875
24,791763042
25,824743542
26,859346584
27,923892000
28,956839500
29,989588167
30,1022579417
31,1055599875
32,1089769125
33,1121601834
34,1154205292
35,1187416209
36,1220725292
37,1253545209
38,1291324792
39,1321311375
40,1355375500
41,1387055875
42,1419212334
43,1450578750
44,1486397959
45,1519224959
46,1550556125
47,1583221125
48,1615367792
49,1649169625
50,1683341042
51,1714372042
52,1747934542
53,1780998167
54,1813813459
55,1847775125
56,1882005709
57,1913234792
58,1946491459
59,1979010834
60,2012397875
61,2045353959
62,2079818584
63,2111807750
64,2144729625
65,2177445417
66,2211154209
67,2243861250
68,2277736167
69,2309737000
70,2341971875
71,2377094375
72,2412389667
73,2444448542
74,2475630417
75,2507733292
76,2540759625
77,2576915459
78,2609961584
79,2641963625
80,2673549250
81,2706132250
82,2738938625
83,2771512167
84,2803834209
85,2836770459
86,2871524792
87,2903285375
88,2935966250
89,2969773000
90,3002118292
91,3035417084
92,3069916709
93,3102244042
94,3134787834
95,3167961500
96,3200607417
97,3233713292
98,3267309250
99,3297800625
100,3331260417
101,3364199292
102,3398099709
103,3432055209
104,3468554250
105,3499762834
106,3533993292
107,3565553792
108,3597802500
109,3630794084
110,3668684875
111,3699693542
112,3726811292
113,3763421542
114,3796256334
115,3828864709
116,3862327375
117,3893350417
118,3926144292
