t_s,amp
0.000000,0.074687
0.010000,0.035963
0.020000,0.008062
0.023220,0.033575
0.033220,0.029071
0.043220,0.036270
0.046440,0.039974
0.056440,0.022991
0.066440,0.026526
0.069660,0.034722
0.079660,0.026349
0.089660,0.020059
0.092880,0.015101
0.102880,0.021467
0.112880,0.019250
0.116100,0.023721
0.126100,0.016770
0.136100,0.009031
0.139320,0.017018
0.149320,0.012322
0.159320,0.007657
0.162540,0.011893
0.172540,0.010134
0.182540,0.011575
0.185760,0.018107
0.195760,0.020381
0.205760,0.020654
0.208980,0.028147
0.218980,0.011852
0.228980,0.023309
0.232200,0.035708
0.242200,0.036662
0.252200,0.028245
0.255420,0.033733
0.265420,0.043533
0.275420,0.033693
0.278639,0.030850
0.288639,0.042447
0.298639,0.031160
0.301859,0.050793
0.311859,0.057822
0.321859,0.045185
0.325079,0.056971
0.335079,0.054402
0.345079,0.034968
0.348299,0.050449
0.358299,0.044493
0.368299,0.033672
0.371519,0.027836
0.381519,0.017260
0.391519,0.008919
0.394739,0.017647
0.404739,0.017348
0.414739,0.022346
0.417959,0.024233
0.427959,0.024435
0.437959,0.038758
0.441179,0.024690
0.451179,0.026042
0.461179,0.015527
0.464399,0.019860
0.474399,0.010131
0.484399,0.023751
0.487619,0.031625
0.497619,0.025788
0.507619,0.017207
0.510839,0.019419
0.520839,0.023559
0.530839,0.012868
0.534059,0.027999
0.544059,0.045944
0.554059,0.022466
0.557279,0.040751
0.567279,0.035887
0.577279,0.045843
0.580499,0.044322
0.590499,0.053205
0.600499,0.037441
0.603719,0.058024
0.613719,0.052378
0.623719,0.026746
0.626939,0.029374
0.636939,0.025760
0.646939,0.009163
0.650159,0.009543
0.660159,0.008258
0.670159,0.005989
0.673379,0.011038
0.683379,0.007076
0.693379,0.005441
0.696599,0.008491
0.706599,0.005176
0.716599,0.005800
0.719819,0.006063
0.729819,0.008062
0.739819,0.008996
0.743039,0.006184
0.753039,0.008896
0.763039,0.004930
0.766259,0.004701
0.776259,0.004780
0.786259,0.004129
0.789478,0.009196
0.799478,0.007724
0.809478,0.008622
0.812698,0.006852
0.822698,0.009245
0.832698,0.005559
0.835918,0.005149
0.845918,0.010994
0.855918,0.004134
0.859138,0.005889
0.869138,0.006548
0.879138,0.003127
0.882358,0.008087
0.892358,0.010335
0.902358,0.005795
0.905578,0.007482
0.915578,0.007194
0.925578,0.006817
0.928798,0.007090
0.938798,0.011690
0.948798,0.005160
0.952018,0.006864
0.962018,0.005897
0.972018,0.004917
0.975238,0.005761
0.985238,0.007123
0.995238,0.002509
0.998458,0.008256
1.008458,0.009724
1.018458,0.009451
1.021678,0.009681
1.031678,0.008917
1.041678,0.011799
1.044898,0.010248
1.054898,0.011980
1.064898,0.005884
1.068118,0.009308
1.078118,0.012616
1.088118,0.014150
1.091338,0.018619
1.101338,0.016198
1.111338,0.009324
1.114558,0.017907
1.124558,0.017084
1.134558,0.017191
1.137778,0.018391
1.147778,0.011983
1.157778,0.011675
1.160998,0.013852
1.170998,0.011858
1.180998,0.006522
1.184218,0.012257
1.194218,0.009309
1.204218,0.008322
1.207438,0.005165
1.217438,0.003952
1.227438,0.002158
1.230658,0.007286
1.240658,0.004897
1.250658,0.004797
1.253878,0.004073
1.263878,0.005946
1.273878,0.004517
1.277098,0.004371
1.287098,0.003374
1.297098,0.005048
1.300317,0.007774
1.310317,0.004890
1.320317,0.002518
1.323537,0.004703
1.333537,0.006249
1.343537,0.004860
1.346757,0.007852
1.356757,0.010359
1.366757,0.005116
1.369977,0.015641
1.379977,0.013576
1.389977,0.014381
1.393197,0.010513
1.403197,0.011021
1.413197,0.006570
1.416417,0.009295
1.426417,0.011786
1.436417,0.005477
1.439637,0.008696
1.449637,0.009159
1.459637,0.014540
1.462857,0.015111
1.472857,0.006399
1.482857,0.005785
1.486077,0.010435
1.496077,0.012564
1.506077,0.005334
1.509297,0.010502
1.519297,0.010213
1.529297,0.009241
1.532517,0.009948
1.542517,0.012534
1.552517,0.007173
1.555737,0.009299
1.565737,0.008597
1.575737,0.013555
1.578957,0.014129
1.588957,0.009919
1.598957,0.006611
1.602177,0.012177
1.612177,0.012000
1.622177,0.007335
1.625397,0.015094
1.635397,0.013500
1.645397,0.007934
1.648617,0.007641
1.658617,0.010599
1.668617,0.012531
1.671837,0.007688
1.681837,0.008195
1.691837,0.007053
1.695057,0.009471
1.705057,0.010554
1.715057,0.005390
1.718277,0.007532
1.728277,0.007961
1.738277,0.005573
1.741497,0.009625
1.751497,0.009327
1.761497,0.012760
1.764717,0.010989
1.774717,0.011014
1.784717,0.010635
1.787937,0.007260
1.797937,0.012348
1.807937,0.008689
1.811156,0.008526
1.821156,0.005233
1.831156,0.003461
1.834376,0.005647
1.844376,0.008077
1.854376,0.015268
1.857596,0.006894
1.867596,0.006746
1.877596,0.003792
1.880816,0.004480
1.890816,0.003459
1.900816,0.003112
1.904036,0.005218
1.914036,0.007011
1.924036,0.007651
1.927256,0.009334
1.937256,0.004887
1.947256,0.006290
1.950476,0.007272
1.960476,0.009182
1.970476,0.005041
1.973696,0.005854
1.983696,0.013723
1.993696,0.013565
1.996916,0.012858
2.006916,0.008383
2.016916,0.008651
2.020136,0.006220
2.030136,0.004165
2.040136,0.006871
2.043356,0.006621
2.053356,0.004762
2.063356,0.011422
