t_s,amp
0.000000,0.005197
0.010000,0.005606
0.020000,0.003788
0.023220,0.008694
0.033220,0.006884
0.043220,0.004398
0.046440,0.003721
0.056440,0.007656
0.066440,0.005168
0.069660,0.012000
0.079660,0.007584
0.089660,0.003258
0.092880,0.004670
0.102880,0.010768
0.112880,0.011611
0.116100,0.009443
0.126100,0.005060
0.136100,0.005344
0.139320,0.006189
0.149320,0.007043
0.159320,0.007482
0.162540,0.008313
0.172540,0.009125
0.182540,0.006578
0.185760,0.006634
0.195760,0.008697
0.205760,0.002639
0.208980,0.007244
0.218980,0.010670
0.228980,0.007594
0.232200,0.007353
0.242200,0.007361
0.252200,0.008528
0.255420,0.005565
0.265420,0.008328
0.275420,0.007244
0.278639,0.007186
0.288639,0.004265
0.298639,0.005910
0.301859,0.006216
0.311859,0.006678
0.321859,0.005658
0.325079,0.004556
0.335079,0.008229
0.345079,0.006747
0.348299,0.005523
0.358299,0.007643
0.368299,0.014084
0.371519,0.009772
0.381519,0.007752
0.391519,0.004888
0.394739,0.007478
0.404739,0.007133
0.414739,0.007569
0.417959,0.005017
0.427959,0.004932
0.437959,0.005914
0.441179,0.003949
0.451179,0.003962
0.461179,0.004055
0.464399,0.008227
0.474399,0.004891
0.484399,0.002868
0.487619,0.008003
0.497619,0.009870
0.507619,0.005728
0.510839,0.004677
0.520839,0.006080
0.530839,0.002315
0.534059,0.006315
0.544059,0.006395
0.554059,0.006501
0.557279,0.006649
0.567279,0.003813
0.577279,0.004048
0.580499,0.004571
0.590499,0.004715
0.600499,0.005245
0.603719,0.006512
0.613719,0.003844
0.623719,0.003626
0.626939,0.004856
0.636939,0.007105
0.646939,0.002308
0.650159,0.004015
0.660159,0.007815
0.670159,0.007398
0.673379,0.004082
0.683379,0.006482
0.693379,0.011262
0.696599,0.011334
0.706599,0.004016
0.716599,0.006125
0.719819,0.008706
0.729819,0.004885
0.739819,0.002346
0.743039,0.005992
0.753039,0.008448
0.763039,0.004360
0.766259,0.008096
0.776259,0.007129
0.786259,0.011326
0.789478,0.012181
0.799478,0.010705
0.809478,0.007655
0.812698,0.015905
0.822698,0.010072
0.832698,0.012003
0.835918,0.013035
0.845918,0.013962
0.855918,0.014515
0.859138,0.015884
0.869138,0.019030
0.879138,0.013086
0.882358,0.016435
0.892358,0.013227
0.902358,0.014436
0.905578,0.013782
0.915578,0.017937
0.925578,0.010040
0.928798,0.014311
0.938798,0.017270
0.948798,0.015733
0.952018,0.009751
0.962018,0.006206
0.972018,0.007484
0.975238,0.005548
0.985238,0.010786
0.995238,0.003622
0.998458,0.008748
1.008458,0.005684
1.018458,0.011301
1.021678,0.008709
1.031678,0.004555
1.041678,0.004607
1.044898,0.008288
1.054898,0.005351
1.064898,0.005033
1.068118,0.006684
1.078118,0.003633
1.088118,0.006524
1.091338,0.006280
1.101338,0.003968
1.111338,0.002563
1.114558,0.007836
1.124558,0.005086
1.134558,0.008962
1.137778,0.008433
1.147778,0.005116
1.157778,0.001654
1.160998,0.004645
1.170998,0.005067
1.180998,0.003466
1.184218,0.008543
1.194218,0.007512
1.204218,0.003335
1.207438,0.007418
1.217438,0.005586
1.227438,0.004194
1.230658,0.006439
1.240658,0.005074
1.250658,0.003544
1.253878,0.008635
1.263878,0.006453
1.273878,0.005062
1.277098,0.006922
1.287098,0.005439
1.297098,0.005423
1.300317,0.005086
1.310317,0.004879
1.320317,0.002367
1.323537,0.004672
1.333537,0.004402
1.343537,0.007873
1.346757,0.005174
1.356757,0.005468
1.366757,0.006973
1.369977,0.008221
1.379977,0.006777
1.389977,0.007906
1.393197,0.007367
1.403197,0.003187
1.413197,0.004452
1.416417,0.005102
1.426417,0.008306
1.436417,0.005925
1.439637,0.006694
1.449637,0.005822
1.459637,0.003637
1.462857,0.011916
1.472857,0.005871
1.482857,0.002308
1.486077,0.003632
1.496077,0.006514
1.506077,0.007809
1.509297,0.007645
1.519297,0.007893
1.529297,0.006069
1.532517,0.009672
1.542517,0.003664
1.552517,0.005210
1.555737,0.008539
1.565737,0.004362
1.575737,0.005005
1.578957,0.009419
1.588957,0.007304
1.598957,0.002860
1.602177,0.005977
1.612177,0.007835
1.622177,0.007709
1.625397,0.006114
1.635397,0.006813
1.645397,0.002122
1.648617,0.007259
1.658617,0.007009
1.668617,0.006582
1.671837,0.007139
1.681837,0.003963
1.691837,0.001857
1.695057,0.007047
1.705057,0.003853
1.715057,0.005228
1.718277,0.009173
1.728277,0.008424
1.738277,0.004670
1.741497,0.005131
1.751497,0.006211
1.761497,0.008186
1.764717,0.011383
1.774717,0.008146
1.784717,0.004499
1.787937,0.002845
1.797937,0.004315
1.807937,0.004264
1.811156,0.006134
1.821156,0.005805
1.831156,0.002684
1.834376,0.005972
1.844376,0.007207
1.854376,0.004903
1.857596,0.004587
1.867596,0.003864
1.877596,0.006688
1.880816,0.005869
1.890816,0.003701
1.900816,0.004155
1.904036,0.005838
1.914036,0.007733
1.924036,0.004467
1.927256,0.005104
1.937256,0.005271
1.947256,0.007840
1.950476,0.011553
1.960476,0.006198
1.970476,0.003292
1.973696,0.005441
1.983696,0.002744
1.993696,0.002349
1.996916,0.004816
2.006916,0.004780
2.016916,0.006681
2.020136,0.006478
2.030136,0.006608
2.040136,0.007847
2.043356,0.008369
2.053356,0.009792
2.063356,0.010865
2.066576,0.010121
2.076576,0.006209
2.086576,0.004269
2.089796,0.006845
2.099796,0.007154
2.109796,0.006346
2.113016,0.007079
2.123016,0.006768
2.133016,0.005006
2.136236,0.008212
2.146236,0.004659
2.156236,0.003214
2.159456,0.009231
2.169456,0.004526
2.179456,0.003053
2.182676,0.011726
2.192676,0.008710
2.202676,0.002988
2.205896,0.005332
2.215896,0.007254
2.225896,0.002601
2.229116,0.007721
2.239116,0.004396
2.249116,0.003593
2.252336,0.004119
2.262336,0.008775
2.272336,0.002606
2.275556,0.006251
2.285556,0.005532
2.295556,0.002807
2.298776,0.006459
2.308776,0.007351
2.318776,0.009518
2.321995,0.010827
2.331995,0.006942
2.341995,0.010627
2.345215,0.012011
2.355215,0.006012
2.365215,0.008814
2.368435,0.008215
2.378435,0.007592
2.388435,0.002562
2.391655,0.006815
2.401655,0.005012
2.411655,0.003297
2.414875,0.007064
2.424875,0.006762
2.434875,0.004008
2.438095,0.008294
2.448095,0.005085
2.458095,0.002463
2.461315,0.021239
2.471315,0.016477
2.481315,0.008730
2.484535,0.007743
2.494535,0.006941
2.504535,0.004567
2.507755,0.006234
2.517755,0.009918
2.527755,0.007076
2.530975,0.006715
2.540975,0.006575
2.550975,0.007347
2.554195,0.006863
2.564195,0.007845
2.574195,0.012890
2.577415,0.009663
2.587415,0.008696
2.597415,0.005273
2.600635,0.004971
2.610635,0.004957
2.620635,0.007231
2.623855,0.005497
2.633855,0.010751
2.643855,0.007417
2.647075,0.009441
2.657075,0.004181
2.667075,0.003024
2.670295,0.009669
2.680295,0.004086
2.690295,0.006328
2.693515,0.008696
2.703515,0.006087
2.713515,0.005143
2.716735,0.008168
2.726735,0.008790
2.736735,0.010161
2.739955,0.006807
