t_s,amp
0.000000,0.002992
0.010000,0.007523
0.020000,0.016027
0.023220,0.008987
0.033220,0.005933
0.043220,0.008747
0.046440,0.013186
0.056440,0.007837
0.066440,0.007141
0.069660,0.006526
0.079660,0.007356
0.089660,0.002982
0.092880,0.003104
0.102880,0.004258
0.112880,0.005173
0.116100,0.007078
0.126100,0.008784
0.136100,0.004673
0.139320,0.006748
0.149320,0.009552
0.159320,0.008940
0.162540,0.009064
0.172540,0.006848
0.182540,0.005120
0.185760,0.004379
0.195760,0.007299
0.205760,0.003533
0.208980,0.006808
0.218980,0.006398
0.228980,0.001249
0.232200,0.008655
0.242200,0.006359
0.252200,0.005708
0.255420,0.005250
0.265420,0.006543
0.275420,0.013246
0.278639,0.012350
0.288639,0.019518
0.298639,0.018316
0.301859,0.022280
0.311859,0.016123
0.321859,0.018189
0.325079,0.024251
0.335079,0.018781
0.345079,0.018439
0.348299,0.036628
0.358299,0.028936
0.368299,0.032024
0.371519,0.030472
0.381519,0.033509
0.391519,0.021059
0.394739,0.027054
0.404739,0.025677
0.414739,0.020785
0.417959,0.020831
0.427959,0.025004
0.437959,0.018520
0.441179,0.024467
0.451179,0.031707
0.461179,0.015574
0.464399,0.024262
0.474399,0.032373
0.484399,0.030051
0.487619,0.026206
0.497619,0.031722
0.507619,0.031267
0.510839,0.031561
0.520839,0.026948
0.530839,0.022081
0.534059,0.036617
0.544059,0.032005
0.554059,0.023436
0.557279,0.032047
0.567279,0.036513
0.577279,0.037942
0.580499,0.047770
0.590499,0.047562
0.600499,0.042048
0.603719,0.047284
0.613719,0.038626
0.623719,0.040495
0.626939,0.039212
0.636939,0.041165
0.646939,0.018663
0.650159,0.036814
0.660159,0.036273
0.670159,0.033331
0.673379,0.040127
0.683379,0.018149
0.693379,0.021875
0.696599,0.033480
0.706599,0.048283
0.716599,0.046206
0.719819,0.041886
0.729819,0.032733
0.739819,0.023639
0.743039,0.025327
0.753039,0.026883
0.763039,0.015965
0.766259,0.023707
0.776259,0.019883
0.786259,0.013885
0.789478,0.015026
0.799478,0.015245
0.809478,0.011103
0.812698,0.012388
0.822698,0.009473
0.832698,0.005176
0.835918,0.008274
0.845918,0.006763
0.855918,0.002585
0.859138,0.010396
0.869138,0.013083
0.879138,0.008151
0.882358,0.007286
0.892358,0.013073
0.902358,0.007366
0.905578,0.006708
0.915578,0.003161
0.925578,0.004562
0.928798,0.003343
0.938798,0.006087
0.948798,0.007532
0.952018,0.007568
0.962018,0.004394
0.972018,0.002949
0.975238,0.004955
0.985238,0.003052
0.995238,0.001667
0.998458,0.004632
1.008458,0.010280
1.018458,0.002221
1.021678,0.004561
1.031678,0.007375
1.041678,0.008261
1.044898,0.003825
1.054898,0.006964
1.064898,0.005249
1.068118,0.006523
1.078118,0.007454
1.088118,0.007108
1.091338,0.006239
1.101338,0.005295
1.111338,0.004765
1.114558,0.005917
1.124558,0.009277
1.134558,0.004619
1.137778,0.006392
1.147778,0.002324
1.157778,0.006463
1.160998,0.005012
1.170998,0.007724
1.180998,0.005560
1.184218,0.007169
1.194218,0.005679
1.204218,0.006146
1.207438,0.016541
1.217438,0.011075
1.227438,0.006405
1.230658,0.015561
1.240658,0.017618
1.250658,0.010189
1.253878,0.015919
1.263878,0.010439
1.273878,0.006573
1.277098,0.007373
1.287098,0.008950
1.297098,0.008890
1.300317,0.005856
1.310317,0.008694
1.320317,0.004769
1.323537,0.005815
1.333537,0.005051
1.343537,0.002389
1.346757,0.006095
1.356757,0.006038
1.366757,0.003446
1.369977,0.004861
1.379977,0.005134
1.389977,0.004027
1.393197,0.005798
1.403197,0.004632
1.413197,0.004778
1.416417,0.004423
1.426417,0.005234
1.436417,0.005406
1.439637,0.008366
1.449637,0.006443
1.459637,0.003354
1.462857,0.003202
1.472857,0.009306
1.482857,0.009912
1.486077,0.008717
1.496077,0.004660
1.506077,0.002370
1.509297,0.011056
1.519297,0.007717
1.529297,0.003664
1.532517,0.006815
1.542517,0.007295
