frame_idx,t_ns
0,0
1,32100000
2,64854700
3,96722500
4,135868100
5,161762400
6,215749000
7,241564000
8,272076600
9,306600400
10,342079600
11,376061500
12,406416300
13,432953800
14,472664300
15,497185400
16,528656100
17,561318700
18,617098600
19,646422300
20,679672800
21,708613100
22,738730900
23,773060000
24,811864300
25,832173600
26,865222300
27,896181100
28,928245300
29,960557900
30,1009491900
31,1042236200
32,1078508100
33,1108575000
34,1145830800
35,1172324600
36,1201481200
37,1232576000
38,1267848400
39,1297937400
40,1332609400
41,1360339300
42,1415063400
43,1439407500
44,1472507700
45,1505425900
46,1536718100
47,1577378800
48,1601497700
49,1645985200
50,1670771900
51,1699453000
52,1731347400
53,1759813300
54,1808906400
55,1839542400
56,1880812200
57,1903681000
58,1939823500
59,1968782600
60,1999402900
61,2033829400
62,2063771000
63,2100250500
64,2129972100
65,2160633800
66,2209049500
67,2247075300
68,2272725900
69,2303607300
70,2335511100
71,2367528800
72,2400073800
73,2431449500
74,2472056700
75,2499735000
76,2527076400
77,2560191600
78,2613882400
79,2639989000
80,2671671100
81,2706585300
82,2736182900
83,2767738200
84,2805046300
85,2832683600
86,2863992100
87,2895298600
88,2931400100
89,2964580100
90,3009487300
91,3039725300
92,3078856400
93,3103239600
94,3137587300
95,3173957100
96,3201140200
97,3231374900
98,3266564900
99,3296299800
100,3327295000
101,3359644500
102,3411141500
103,3445857900
104,3471637800
105,3503942800
106,3535570900
107,3568098400
108,3600929300
109,3641936100
110,3664722600
111,3695292700
112,3735536500
113,3768069000
114,3812888500
115,3841258000
116,3876252200
117,3905551800
118,3935121500
119,3971707400
120,4004682600
121,4032693200
122,4065844500
123,4096258200
124,4127335500
125,4161605200
126,4209774800
127,4239452000
128,4271889200
129,4304262200
130,4343537800
131,4372499400
132,4399494200
133,4442891900
134,4464384400
135,4495790400
136,4534673800
137,4565958700
138,4615908800
139,4640229300
140,4679872800
141,4703932000
142,4736683000
143,4771357100
144,4804355800
145,4832224000
146,4871716200
147,4899309300
148,4928943800
149,4969114600
150,5014061900
151,5042998400
152,5071128300
153,5104349800
154,5149834900
155,5168990900
156,5201260200
157,5234352200
158,5264630600
159,5301144100
160,5331692000
161,5359958800
162,5409492900
163,5442033400
164,5476730100
165,5505803400
166,5535833600
167,5571123600
168,5601646300
169,5631339200
170,5675027400
171,5696438600
172,5728599600
173,5771437100
174,5815373800
175,5844135400
176,5871683300
177,5916077400
178,5939171600
179,5969448000
180,6002749500
181,6031225500
182,6063558400
183,6103764800
184,6137362800
185,6159542800
186,6208917700
187,6239978400
188,6278370300
189,6305404400
190,6341415800
191,6370735700
192,6403213200
193,6431103000
194,6463182700
195,6495163000
196,6527642600
197,6572218000
198,6609653800
199,6641696400
200,6671576200
201,6704414700
202,6736637800
203,6767467300
204,6803050100
205,6843937200
206,6868069100
207,6899567900
