t_s,amp
0.000000,0.002284
0.010000,0.002360
0.020000,0.001897
0.023220,0.002958
0.033220,0.002060
0.043220,0.001876
0.046440,0.002545
0.056440,0.002061
0.066440,0.002074
0.069660,0.002734
0.079660,0.002010
0.089660,0.001960
0.092880,0.002555
0.102880,0.002143
0.112880,0.001705
0.116100,0.002476
0.126100,0.002542
0.136100,0.002210
0.139320,0.002386
0.149320,0.002181
0.159320,0.001684
0.162540,0.002281
0.172540,0.002180
0.182540,0.001957
0.185760,0.002213
0.195760,0.002663
0.205760,0.002002
0.208980,0.001917
0.218980,0.002324
0.228980,0.002296
0.232200,0.001758
0.242200,0.002425
0.252200,0.002004
0.255420,0.002552
0.265420,0.002103
0.275420,0.001655
0.278639,0.002518
0.288639,0.002383
0.298639,0.002492
0.301859,0.002442
0.311859,0.002662
0.321859,0.001504
0.325079,0.002805
0.335079,0.002520
0.345079,0.002203
0.348299,0.002003
0.358299,0.002451
0.368299,0.002241
0.371519,0.002486
0.381519,0.002361
0.391519,0.001930
0.394739,0.002379
0.404739,0.002192
0.414739,0.001653
0.417959,0.002846
0.427959,0.002056
0.437959,0.001938
0.441179,0.001969
0.451179,0.002192
0.461179,0.002231
0.464399,0.002327
0.474399,0.002692
0.484399,0.002328
0.487619,0.002633
0.497619,0.002289
0.507619,0.003103
0.510839,0.002321
0.520839,0.002293
0.530839,0.002203
0.534059,0.002047
0.544059,0.002131
0.554059,0.002273
0.557279,0.002752
0.567279,0.002232
0.577279,0.002696
0.580499,0.002663
0.590499,0.003410
0.600499,0.002618
0.603719,0.002317
0.613719,0.002455
0.623719,0.003343
0.626939,0.002670
0.636939,0.002880
0.646939,0.002939
0.650159,0.002992
0.660159,0.002987
0.670159,0.001938
0.673379,0.002346
0.683379,0.002234
0.693379,0.002322
0.696599,0.002732
0.706599,0.002973
0.716599,0.002311
0.719819,0.003166
0.729819,0.002305
0.739819,0.002007
0.743039,0.002256
0.753039,0.002115
0.763039,0.001884
0.766259,0.002581
0.776259,0.002366
0.786259,0.002510
0.789478,0.002608
0.799478,0.003078
0.809478,0.002004
0.812698,0.002473
0.822698,0.002220
0.832698,0.001971
0.835918,0.002072
0.845918,0.002200
0.855918,0.001807
0.859138,0.002373
0.869138,0.002244
0.879138,0.001944
0.882358,0.002050
0.892358,0.003274
0.902358,0.001553
0.905578,0.002771
0.915578,0.002007
0.925578,0.002530
0.928798,0.002401
0.938798,0.002699
0.948798,0.001483
0.952018,0.002040
0.962018,0.002029
0.972018,0.002480
0.975238,0.002647
0.985238,0.002453
0.995238,0.002088
0.998458,0.002344
1.008458,0.002906
1.018458,0.003360
1.021678,0.002715
1.031678,0.002584
1.041678,0.001928
1.044898,0.002950
1.054898,0.002194
1.064898,0.002485
1.068118,0.002490
1.078118,0.002487
1.088118,0.001813
1.091338,0.002131
1.101338,0.003032
1.111338,0.003895
1.114558,0.002820
1.124558,0.002579
1.134558,0.002352
1.137778,0.003056
1.147778,0.002293
1.157778,0.002188
1.160998,0.002588
1.170998,0.002372
1.180998,0.002075
1.184218,0.002854
1.194218,0.003102
1.204218,0.003330
1.207438,0.003132
1.217438,0.002804
1.227438,0.002086
1.230658,0.002158
1.240658,0.002405
1.250658,0.001897
1.253878,0.002536
1.263878,0.002437
1.273878,0.002032
1.277098,0.002735
1.287098,0.002326
1.297098,0.002144
1.300317,0.002339
1.310317,0.002756
1.320317,0.002462
1.323537,0.002600
1.333537,0.002079
1.343537,0.001981
1.346757,0.002279
1.356757,0.002059
1.366757,0.002364
1.369977,0.002476
1.379977,0.002225
1.389977,0.002348
1.393197,0.002495
1.403197,0.002145
1.413197,0.002254
1.416417,0.002417
1.426417,0.002199
1.436417,0.002529
1.439637,0.002671
1.449637,0.002978
1.459637,0.002227
1.462857,0.004488
1.472857,0.003141
1.482857,0.001963
1.486077,0.002861
1.496077,0.003294
1.506077,0.001939
1.509297,0.002999
1.519297,0.002362
1.529297,0.003060
1.532517,0.002465
1.542517,0.002713
1.552517,0.002010
1.555737,0.002016
1.565737,0.002642
1.575737,0.002044
1.578957,0.002401
1.588957,0.001979
1.598957,0.001798
1.602177,0.002187
1.612177,0.002218
1.622177,0.002154
1.625397,0.002500
1.635397,0.002984
1.645397,0.003033
1.648617,0.002436
1.658617,0.002989
1.668617,0.001906
1.671837,0.002633
1.681837,0.002972
1.691837,0.001766
1.695057,0.002921
1.705057,0.002503
1.715057,0.001869
1.718277,0.002405
1.728277,0.002383
1.738277,0.001737
1.741497,0.002269
1.751497,0.002232
1.761497,0.002005
1.764717,0.002264
1.774717,0.002599
1.784717,0.002256
1.787937,0.002273
1.797937,0.002208
1.807937,0.002111
1.811156,0.002477
1.821156,0.001994
1.831156,0.002109
1.834376,0.003095
1.844376,0.002034
1.854376,0.001763
1.857596,0.002267
1.867596,0.001814
1.877596,0.001591
1.880816,0.002731
1.890816,0.002646
1.900816,0.002597
1.904036,0.002287
1.914036,0.002490
1.924036,0.001996
1.927256,0.001749
1.937256,0.002040
1.947256,0.001869
1.950476,0.002393
1.960476,0.003461
1.970476,0.001975
1.973696,0.001636
1.983696,0.002181
1.993696,0.002433
1.996916,0.002121
2.006916,0.002270
2.016916,0.001944
2.020136,0.002497
2.030136,0.002354
2.040136,0.001735
2.043356,0.002220
2.053356,0.002204
2.063356,0.002238
2.066576,0.002103
2.076576,0.002984
2.086576,0.001815
2.089796,0.002068
2.099796,0.002941
2.109796,0.002039
2.113016,0.002199
2.123016,0.002679
2.133016,0.001960
2.136236,0.002687
2.146236,0.002646
2.156236,0.001926
2.159456,0.002505
2.169456,0.002786
2.179456,0.002319
2.182676,0.002653
2.192676,0.002760
2.202676,0.002618
2.205896,0.002327
2.215896,0.002604
2.225896,0.001995
2.229116,0.002822
2.239116,0.002822
2.249116,0.001954
2.252336,0.002047
2.262336,0.002273
2.272336,0.002232
2.275556,0.002252
2.285556,0.002333
2.295556,0.002104
2.298776,0.002238
2.308776,0.002544
2.318776,0.001572
2.321995,0.003431
2.331995,0.002114
2.341995,0.002442
2.345215,0.002288
2.355215,0.002681
2.365215,0.002191
2.368435,0.003015
2.378435,0.006441
2.388435,0.003247
2.391655,0.002889
2.401655,0.001888
2.411655,0.002349
2.414875,0.002172
2.424875,0.002719
2.434875,0.001880
2.438095,0.002184
2.448095,0.003182
2.458095,0.002775
2.461315,0.003359
2.471315,0.003392
2.481315,0.003225
2.484535,0.003354
2.494535,0.002514
2.504535,0.002740
2.507755,0.002627
2.517755,0.003454
2.527755,0.001744
2.530975,0.002858
2.540975,0.002956
2.550975,0.003014
2.554195,0.002322
2.564195,0.002303
2.574195,0.002111
2.577415,0.003153
2.587415,0.002422
2.597415,0.002391
2.600635,0.002463
2.610635,0.003378
2.620635,0.001868
2.623855,0.002183
2.633855,0.003044
2.643855,0.002732
2.647075,0.003696
2.657075,0.002856
2.667075,0.002954
2.670295,0.002286
2.680295,0.002443
2.690295,0.002265
2.693515,0.002167
2.703515,0.002141
2.713515,0.002472
