t_ns,ch1_V,ch2_V,ch3_V
0,1.312821,1.343590,1.315751
60458,1.301832,1.335531,1.317949
60458,1.315018,1.339927,1.326007
961290,1.323810,1.326007,1.325275
1053207,1.312088,1.282784,1.315018
1053207,1.299634,1.273260,1.315751
2044374,1.312821,1.312821,1.323810
2057665,1.317216,1.323810,1.323077
2959915,1.314286,1.321612,1.318681
3052582,1.304762,1.311355,1.312821
3052582,1.316484,1.331868,1.326007
3975333,1.316484,1.332601,1.325275
4052374,1.314286,1.318681,1.312821
4052374,1.311355,1.323077,1.319414
5029457,1.319414,1.328938,1.323077
5029457,1.317949,1.321612,1.320879
5075166,1.304762,1.312821,1.317216
6001083,1.309158,1.318681,1.326740
6001083,1.316484,1.326007,1.326740
6065458,1.314286,1.322344,1.317949
7063166,1.309890,1.312088,1.310623
7063166,1.319414,1.322344,1.320147
7973540,1.323077,1.320879,1.322344
8068416,1.314286,1.312821,1.320879
8068416,1.319414,1.317949,1.319414
8975040,1.323077,1.317949,1.320147
9073790,1.309158,1.317949,1.318681
9073790,1.309890,1.317949,1.325275
10004290,1.308425,1.316484,1.327473
10054583,1.303297,1.317216,1.317949
42046208,1.297436,1.320879,1.322344
46231790,1.309158,1.336996,1.327473
46231790,1.306227,1.323810,1.311355
46231790,1.317216,1.316484,1.326007
46231790,1.312088,1.305495,1.315751
46231790,1.319414,1.327473,1.326740
46231790,1.323810,1.338462,1.321612
46231790,1.316484,1.347253,1.323810
46231790,1.321612,1.298168,1.323077
46231790,1.314286,1.283516,1.315018
46231790,1.317949,1.363370,1.328938
46231790,1.326740,1.352381,1.326007
46994457,1.317216,1.331136,1.323810
46994457,1.320147,1.327473,1.321612
47079541,1.312088,1.319414,1.323077
48999624,1.312088,1.315018,1.320147
48999624,1.303297,1.287179,1.307692
48999624,1.322344,1.293773,1.306227
48999624,1.326007,1.314286,1.323810
48999624,1.304029,1.309158,1.320879
49088415,1.309158,1.318681,1.314286
49979749,1.315018,1.323077,1.322344
50080207,1.301832,1.250549,1.309890
51007915,1.304029,1.224176,1.317216
51007915,1.312088,1.250549,1.314286
51088415,1.309890,1.287179,1.312821
52027457,1.298168,1.339927,1.312088
52027457,1.300366,1.421978,1.317949
52089374,1.312088,1.469597,1.326007
53004249,1.317216,1.462271,1.323810
53004249,1.311355,1.375824,1.318681
53072124,1.313553,1.318681,1.322344
53997541,1.316484,1.293040,1.323077
53997541,1.304029,1.293773,1.327473
54087165,1.306960,1.292308,1.318681
55010790,1.313553,1.304029,1.327473
55086165,1.327473,1.306227,1.326007
56008290,1.331136,1.304029,1.317949
56008290,1.322344,1.293773,1.318681
56080790,1.315018,1.306960,1.312088
57000332,1.306960,1.308425,1.317949
57000332,1.291575,1.308425,1.312088
57093915,1.304762,1.304029,1.309890
57988540,1.304762,1.309890,1.307692
57988540,1.306960,1.317216,1.320147
58074790,1.316484,1.323810,1.317216
59308416,1.314286,1.330403,1.322344
59308416,1.292308,1.317216,1.311355
59308416,1.317216,1.327473,1.328938
59989540,1.317216,1.309890,1.323810
92018249,1.304762,1.285714,1.315018
92067249,1.317949,1.302564,1.323810
92982832,1.313553,1.309890,1.322344
93072249,1.322344,1.345055,1.326740
93072249,1.310623,1.361172,1.323810
94924500,1.314286,1.357509,1.331136
94924500,1.312821,1.309890,1.311355
96945624,1.314286,1.315018,1.322344
96945624,1.309158,1.309158,1.311355
