t_ns,ch1_V,ch2_V,ch3_V
155937417,1.316484,1.320147,1.326740
155979291,1.306960,1.305495,1.320147
155979291,1.301832,1.302564,1.315751
155979291,1.311355,1.311355,1.323077
158157207,1.295971,1.295238,1.312088
158157207,1.301832,1.310623,1.310623
158157207,1.300366,1.340659,1.315018
158157207,1.303297,1.371429,1.323810
158157207,1.302564,1.358974,1.316484
158909124,1.309890,1.326740,1.327473
158909124,1.311355,1.292308,1.321612
158995541,1.314286,1.276923,1.323810
160364708,1.320147,1.303297,1.321612
160364708,1.316484,1.306960,1.315018
160364708,1.304029,1.306227,1.323810
160916332,1.312088,1.317216,1.327473
160916332,1.318681,1.320879,1.317216
161018832,1.309890,1.315751,1.312821
161937707,1.304762,1.320147,1.321612
161996832,1.321612,1.326740,1.326740
162925374,1.316484,1.321612,1.316484
162925374,1.304762,1.315018,1.320147
162996000,1.318681,1.323810,1.331136
163887083,1.318681,1.323810,1.323810
163974291,1.315751,1.318681,1.315018
163974291,1.303297,1.312088,1.316484
164934708,1.313553,1.326740,1.326007
164934708,1.320147,1.324542,1.326740
164995707,1.311355,1.320879,1.322344
165939583,1.315751,1.313553,1.300366
166013250,1.327473,1.328205,1.326007
166927833,1.323077,1.327473,1.323810
166943125,1.312088,1.315018,1.317216
199001124,1.310623,1.326007,1.329670
199001124,1.315018,1.334066,1.323810
199942499,1.297436,1.320879,1.323810
199996166,1.306227,1.312821,1.319414
200002624,1.301832,1.309890,1.300366
200987707,1.312088,1.313553,1.311355
200987707,1.320879,1.315751,1.323810
201919582,1.313553,1.315018,1.318681
201919582,1.330403,1.324542,1.323810
201991666,1.320147,1.313553,1.317216
202902916,1.308425,1.312088,1.314286
202994125,1.295971,1.319414,1.309158
202994125,1.319414,1.324542,1.320879
203882750,1.308425,1.313553,1.315018
203960666,1.306960,1.324542,1.323077
203960666,1.300366,1.312821,1.312821
204880000,1.316484,1.323810,1.325275
204962332,1.314286,1.325275,1.327473
205894791,1.313553,1.317216,1.310623
205990124,1.313553,1.321612,1.326740
205990124,1.320147,1.320879,1.319414
206904666,1.317216,1.319414,1.322344
206904666,1.315018,1.321612,1.326007
206992667,1.317949,1.326740,1.320879
208923958,1.309158,1.339194,1.323810
209057125,1.308425,1.338462,1.317216
209057125,1.309890,1.339194,1.320879
209057125,1.313553,1.329670,1.322344
209057125,1.310623,1.309158,1.316484
209057125,1.290842,1.281319,1.317216
209957416,1.300366,1.301832,1.323810
210012124,1.315751,1.309890,1.324542
210938207,1.329670,1.309890,1.315018
210938207,1.329670,1.323077,1.320147
211019207,1.316484,1.320879,1.315018
211932832,1.317949,1.320147,1.315751
211932832,1.334799,1.353114,1.322344
212006457,1.323810,1.360440,1.323810
213358166,1.299634,1.305495,1.312088
213358166,1.309158,1.282051,1.315751
213358166,1.320879,1.345055,1.326007
213905792,1.308425,1.301832,1.313553
213991417,1.301832,1.289377,1.319414
213996874,1.308425,1.306227,1.306960
214987291,1.326007,1.326740,1.333333
214993874,1.308425,1.324542,1.326740
215906499,1.281319,1.313553,1.316484
215906499,1.280586,1.320147,1.315018
216070208,1.298168,1.329670,1.326740
218915708,1.323077,1.323810,1.320147
249804874,1.315751,1.311355,1.323810
249804874,1.362637,1.304762,1.316484
249901375,1.339927,1.328205,1.327473
249969999,1.309890,1.337729,1.323810
249969999,1.309158,1.339927,1.323077
252206707,1.313553,1.320147,1.320147
252206707,1.306960,1.314286,1.323810
252206707,1.279853,1.303297,1.323810
252206707,1.278388,1.298901,1.313553
252206707,1.309890,1.306227,1.319414
252206707,1.314286,1.244689,1.307692
252913207,1.340659,1.253480,1.326740
252913207,1.350183,1.284982,1.327473
252985541,1.315018,1.323077,1.326740
254197250,1.283516,1.369963,1.320879
254197250,1.308425,1.446886,1.321612
254913416,1.312821,1.457143,1.313553
254913416,1.307692,1.364103,1.309890
255000375,1.313553,1.314286,1.318681
255937124,1.332601,1.330403,1.322344
255937124,1.351648,1.338462,1.321612
256007750,1.333333,1.317949,1.323810
256934875,1.326007,1.309890,1.323810
256934875,1.312821,1.301832,1.325275
