frame_idx,t_ns
0,0
1,33434333
2,64239833
3,98236000
4,130150583
5,162952333
6,195775333
7,228824500
8,261754750
9,295236250
10,327042125
11,361094875
12,394192958
13,428734583
14,460806125
15,493777083
16,526567833
17,559737375
18,593073791
19,626891708
20,657464500
21,691511541
22,723709000
23,755998000
24,788968041
25,824058250
26,855348583
27,888188375
28,922491083
29,954872833
30,990176541
31,1021644458
32,1054397500
33,1086681750
34,1120692041
35,1154244416
36,1185808708
37,1218791666
38,1251132750
39,1283542208
40,1317964166
41,1350498916
42,1383510041
43,1418112833
44,1448607208
45,1482015625
46,1514637333
47,1549944041
48,1582931500
49,1617204416
50,1648981208
51,1681628500
52,1714839458
53,1747639000
54,1780411208
55,1814077583
56,1844503208
57,1879957583
58,1912909250
59,1945782583
60,1978743875
61,2016418458
62,2047532416
63,2079872000
64,2110597125
65,2143588083
66,2176832708
67,2213045708
68,2244330125
69,2276656458
70,2308609375
71,2341140541
72,2373975208
73,2406788000
74,2439105875
75,2472572041
76,2505720375
77,2538742833
78,2572274208
79,2606676458
80,2639251208
81,2672320708
82,2704464291
83,2738813083
84,2771153375
85,2804963833
86,2837416916
87,2870185000
88,2903157958
89,2936709250
90,2969150416
91,3002317458
92,3035662833
93,3068263333
94,3104531833
95,3167546416
96,3199817666
97,3236809041
98,3264536750
99,3301273666
100,3333834458
101,3365782833
102,3397728708
103,3429697583
104,3461644291
105,3495812000
106,3528260500
107,3561608750
108,3593788583
109,3627725750
110,3659345416
111,3693057708
112,3727538500
113,3760412708
114,3793788291
115,3827638458
116,3859378625
117,3892484416
118,3925656291
119,3958485166
120,3991677500
121,4025723250
122,4057632458
123,4089956208
124,4127023583
125,4157900041
126,4192051333
127,4224289000
128,4257889958
129,4289130166
130,4321878125
131,4354010375
132,4390509375
133,4422592666
134,4455411333
135,4486912541
136,4519629291
137,4552503125
138,4585442958
139,4618616166
140,4650339500
141,4683587916
142,4716589416
143,4748348250
144,4781804875
145,4816928458
146,4848086125
147,4880443000
148,4913438708
