timestamp	ch1	ch2	ch3
00:00:00.000	1.309890	1.313553	1.308425
00:00:00.001	1.304762	1.309890	1.299634
00:00:00.001	1.336996	1.329670	1.329670
00:00:00.001	1.310623	1.318681	1.318681
00:00:00.002	1.306227	1.323810	1.327473
00:00:00.002	1.306227	1.316484	1.317949
00:00:00.003	1.312088	1.320879	1.323077
00:00:00.003	1.312088	1.318681	1.317949
00:00:00.003	1.304762	1.317949	1.325275
00:00:00.004	1.311355	1.321612	1.319414
00:00:00.004	1.310623	1.319414	1.320879
00:00:00.004	1.311355	1.316484	1.306227
00:00:00.005	1.313553	1.322344	1.310623
00:00:00.005	1.315751	1.317949	1.320147
00:00:00.006	1.306960	1.320879	1.317949
00:00:00.006	1.307692	1.320879	1.296703
00:00:00.006	1.314286	1.321612	1.303297
00:00:00.007	1.310623	1.320147	1.300366
00:00:00.007	1.304029	1.316484	1.304762
00:00:00.007	1.307692	1.313553	1.309158
00:00:00.008	1.293040	1.306227	1.305495
00:00:00.008	1.298168	1.316484	1.328938
00:00:00.008	1.306227	1.320879	1.373626
00:00:00.009	1.320879	1.320147	1.349451
00:00:00.009	1.334066	1.321612	1.317949
00:00:00.009	1.326740	1.318681	1.296703
00:00:00.010	1.328205	1.316484	1.310623
00:00:00.010	1.345055	1.324542	1.334066
00:00:00.010	1.339927	1.322344	1.349451
00:00:00.011	1.339927	1.324542	1.364103
00:00:00.011	1.306227	1.312821	1.337729
00:00:00.012	1.276923	1.309890	1.317949
00:00:00.012	1.316484	1.325275	1.332601
00:00:00.012	1.316484	1.321612	1.312821
00:00:00.013	1.303297	1.323810	1.309158
00:00:00.013	1.300366	1.320879	1.309890
00:00:00.013	1.295971	1.313553	1.306227
00:00:00.014	1.298901	1.308425	1.303297
00:00:00.014	1.273260	1.316484	1.312088
00:00:00.014	1.279853	1.316484	1.311355
00:00:00.015	1.287912	1.321612	1.298168
00:00:00.015	1.312088	1.321612	1.292308
00:00:00.015	1.323077	1.317216	1.297436
00:00:00.016	1.332601	1.318681	1.311355
00:00:00.016	1.345788	1.319414	1.336996
00:00:00.017	1.377289	1.323810	1.356777
00:00:00.017	1.368498	1.325275	1.353846
00:00:00.017	1.316484	1.323077	1.328205
00:00:00.018	1.265201	1.315018	1.331136
00:00:00.018	1.293040	1.317949	1.334799
00:00:00.050	1.312821	1.323810	1.326740
00:00:00.051	1.315018	1.313553	1.304762
00:00:00.051	1.306227	1.315751	1.297436
00:00:00.051	1.320879	1.328205	1.317216
00:00:00.053	1.323077	1.325275	1.316484
00:00:00.053	1.298901	1.315751	1.313553
00:00:00.053	1.306960	1.318681	1.309890
00:00:00.053	1.306960	1.321612	1.321612
00:00:00.053	1.306227	1.317216	1.315751
00:00:00.053	1.299634	1.320147	1.313553
00:00:00.054	1.306960	1.319414	1.317949
00:00:00.054	1.295238	1.312821	1.312088
00:00:00.054	1.306227	1.320879	1.314286
00:00:00.055	1.326007	1.321612	1.320147
00:00:00.055	1.332601	1.321612	1.322344
00:00:00.056	1.322344	1.312821	1.308425
00:00:00.056	1.317949	1.321612	1.309890
00:00:00.057	1.306227	1.308425	1.313553
00:00:00.057	1.317216	1.323810	1.334066
00:00:00.057	1.316484	1.317216	1.328938
00:00:00.057	1.314286	1.321612	1.335531
00:00:00.060	1.303297	1.315751	1.320147
00:00:00.060	1.317216	1.322344	1.319414
00:00:00.060	1.317949	1.322344	1.321612
00:00:00.060	1.310623	1.314286	1.314286
00:00:00.060	1.300366	1.309158	1.310623
00:00:00.060	1.306227	1.321612	1.326007
00:00:00.060	1.315018	1.322344	1.333333
00:00:00.060	1.309158	1.317216	1.314286
00:00:00.064	1.304029	1.316484	1.319414
00:00:00.064	1.304029	1.312088	1.299634
00:00:00.064	1.320147	1.321612	1.325275
00:00:00.064	1.320147	1.322344	1.323810
00:00:00.064	1.298168	1.310623	1.309158
00:00:00.064	1.306960	1.317216	1.317216
00:00:00.064	1.312821	1.312821	1.307692
00:00:00.064	1.305495	1.318681	1.323077
00:00:00.064	1.312821	1.325275	1.326007
00:00:00.064	1.307692	1.323810	1.315751
00:00:00.064	1.307692	1.317216	1.304029
00:00:00.065	1.308425	1.306960	1.311355
00:00:00.066	1.327473	1.319414	1.331136
00:00:00.066	1.339927	1.331136	1.328938
00:00:00.066	1.311355	1.320879	1.306227
00:00:00.066	1.273260	1.319414	1.301832
00:00:00.066	1.276923	1.311355	1.306227
00:00:00.067	1.295971	1.305495	1.309890
00:00:00.067	1.325275	1.326007	1.333333
00:00:00.067	1.328205	1.321612	1.328205
00:00:00.068	1.331136	1.325275	1.342125
00:00:00.100	1.345788	1.323810	1.339194
00:00:00.100	1.345788	1.312088	1.315751
00:00:00.101	1.336996	1.320879	1.330403
00:00:00.101	1.316484	1.314286	1.312821
00:00:00.101	1.321612	1.328205	1.322344
00:00:00.102	1.309158	1.323077	1.304029
00:00:00.102	1.292308	1.317216	1.320147
00:00:00.102	1.300366	1.324542	1.342857
00:00:00.103	1.256410	1.323077	1.328938
00:00:00.103	1.234432	1.310623	1.315018
00:00:00.104	1.261538	1.315751	1.316484
00:00:00.104	1.317216	1.324542	1.335531
00:00:00.104	1.331868	1.326007	1.314286
00:00:00.105	1.326007	1.319414	1.286447
00:00:00.105	1.349451	1.322344	1.306960
00:00:00.105	1.394139	1.314286	1.353846
00:00:00.106	1.392674	1.314286	1.398535
00:00:00.106	1.348718	1.327473	1.336264
00:00:00.106	1.295238	1.325275	1.276923
00:00:00.107	1.276923	1.316484	1.284982
00:00:00.107	1.297436	1.327473	1.300366
00:00:00.107	1.291575	1.327473	1.286447
00:00:00.108	1.296703	1.306227	1.287179
00:00:00.108	1.352381	1.318681	1.312821
00:00:00.109	1.358242	1.308425	1.332601
00:00:00.109	1.345788	1.314286	1.328205
00:00:00.109	1.295238	1.315751	1.315018
00:00:00.110	1.273260	1.315751	1.323810
00:00:00.111	1.300366	1.317216	1.333333
00:00:00.111	1.326007	1.322344	1.359707
00:00:00.111	1.323810	1.333333	1.356044
00:00:00.111	1.306960	1.333333	1.334799
00:00:00.111	1.298168	1.328938	1.328938
00:00:00.112	1.307692	1.323077	1.322344
00:00:00.112	1.300366	1.310623	1.306227
00:00:00.112	1.300366	1.319414	1.317216
00:00:00.113	1.309158	1.326740	1.306960
00:00:00.113	1.289377	1.312821	1.296703
00:00:00.114	1.303297	1.319414	1.308425
00:00:00.114	1.297436	1.309890	1.299634
00:00:00.114	1.300366	1.319414	1.317216
00:00:00.115	1.328205	1.326740	1.323810
00:00:00.115	1.326007	1.311355	1.306227
00:00:00.115	1.330403	1.309890	1.320147
00:00:00.116	1.317216	1.310623	1.313553
00:00:00.116	1.316484	1.317949	1.306227
00:00:00.116	1.308425	1.312821	1.314286
00:00:00.117	1.312088	1.328205	1.323077
00:00:00.117	1.301832	1.317216	1.320879
00:00:00.117	1.310623	1.320879	1.320879
00:00:00.150	1.302564	1.323077	1.322344
00:00:00.150	1.301832	1.312821	1.313553
00:00:00.150	1.316484	1.324542	1.321612
00:00:00.151	1.312821	1.319414	1.313553
00:00:00.151	1.306227	1.307692	1.309158
00:00:00.151	1.308425	1.309158	1.315751
00:00:00.154	1.309158	1.320147	1.323810
00:00:00.154	1.320147	1.328205	1.329670
00:00:00.154	1.314286	1.319414	1.309890
00:00:00.154	1.302564	1.314286	1.320147
00:00:00.154	1.307692	1.313553	1.315018
00:00:00.154	1.318681	1.324542	1.326007
00:00:00.154	1.316484	1.317949	1.317949
00:00:00.154	1.312821	1.309158	1.312821
00:00:00.156	1.300366	1.310623	1.315751
00:00:00.156	1.325275	1.329670	1.336264
00:00:00.156	1.320879	1.320147	1.326007
00:00:00.156	1.315751	1.307692	1.308425
00:00:00.156	1.310623	1.311355	1.307692
00:00:00.157	1.308425	1.316484	1.317949
00:00:00.157	1.320879	1.325275	1.326007
00:00:00.157	1.312088	1.323810	1.325275
00:00:00.160	1.312088	1.322344	1.321612
00:00:00.160	1.312088	1.323077	1.320147
00:00:00.160	1.309158	1.318681	1.312821
00:00:00.160	1.318681	1.326007	1.328938
00:00:00.160	1.316484	1.322344	1.330403
00:00:00.160	1.306960	1.316484	1.319414
00:00:00.160	1.300366	1.311355	1.328205
00:00:00.160	1.309158	1.307692	1.328205
00:00:00.160	1.309890	1.323810	1.315751
00:00:00.161	1.316484	1.323810	1.302564
00:00:00.161	1.323077	1.315018	1.276923
00:00:00.162	1.307692	1.312088	1.274725
00:00:00.162	1.323810	1.323077	1.309158
00:00:00.163	1.336996	1.319414	1.327473
00:00:00.163	1.321612	1.317216	1.339927
00:00:00.163	1.317216	1.315751	1.353846
00:00:00.163	1.310623	1.326007	1.342857
00:00:00.164	1.317949	1.328205	1.326740
00:00:00.164	1.294505	1.309158	1.309890
00:00:00.164	1.301099	1.322344	1.312821
00:00:00.165	1.304762	1.323810	1.312821
00:00:00.165	1.309158	1.316484	1.305495
00:00:00.165	1.306960	1.311355	1.306960
00:00:00.166	1.310623	1.310623	1.318681
00:00:00.166	1.306227	1.314286	1.329670
00:00:00.167	1.310623	1.321612	1.323810
00:00:00.167	1.306227	1.316484	1.320147
00:00:00.167	1.313553	1.322344	1.332601
00:00:00.199	1.323810	1.327473	1.323810
00:00:00.200	1.331136	1.322344	1.314286
00:00:00.200	1.332601	1.321612	1.323810
00:00:00.201	1.310623	1.312088	1.300366
00:00:00.201	1.303297	1.320879	1.312088
00:00:00.201	1.298901	1.323810	1.306227
00:00:00.202	1.287912	1.317216	1.303297
00:00:00.202	1.290110	1.312088	1.306227
00:00:00.202	1.289377	1.312088	1.315751
00:00:00.203	1.315751	1.323810	1.333333
00:00:00.203	1.344322	1.323077	1.336264
00:00:00.203	1.360440	1.326007	1.352381
00:00:00.204	1.338462	1.309158	1.308425
00:00:00.204	1.331868	1.323077	1.308425
00:00:00.204	1.312821	1.323077	1.304029
00:00:00.205	1.296703	1.317949	1.320879
00:00:00.205	1.307692	1.315751	1.340659
00:00:00.206	1.311355	1.317949	1.343590
00:00:00.206	1.304029	1.328938	1.334066
00:00:00.206	1.289377	1.317949	1.325275
00:00:00.207	1.272527	1.320147	1.326740
00:00:00.207	1.290110	1.316484	1.305495
00:00:00.207	1.317949	1.311355	1.297436
00:00:00.208	1.312088	1.309890	1.288645
00:00:00.208	1.354579	1.328205	1.311355
00:00:00.208	1.374359	1.323077	1.354579
00:00:00.209	1.364835	1.328205	1.328938
00:00:00.209	1.333333	1.309890	1.312821
00:00:00.209	1.283516	1.318681	1.312821
00:00:00.210	1.281319	1.327473	1.335531
00:00:00.210	1.259341	1.321612	1.331868
00:00:00.211	1.290110	1.318681	1.321612
00:00:00.211	1.300366	1.321612	1.301832
00:00:00.211	1.306960	1.317216	1.302564
00:00:00.212	1.318681	1.318681	1.309890
00:00:00.212	1.316484	1.316484	1.326740
00:00:00.212	1.313553	1.315751	1.340659
