t_ns,ch1_V,ch2_V,ch3_V
147167100,0.429304,0.417582,0.430769
148077599,0.430769,0.431502,0.430037
148077599,0.430769,0.430769,0.429304
148077599,0.430769,0.431502,0.432967
148077599,0.427106,0.430769,0.421245
148971000,0.427839,0.438828,0.435897
148971000,0.432967,0.441758,0.434432
148971000,0.432234,0.433700,0.432967
150076699,0.432234,0.428571,0.434432
150076699,0.427839,0.432967,0.430037
150076699,0.427106,0.428571,0.432234
150958099,0.426374,0.431502,0.429304
150958099,0.425641,0.428571,0.427839
150958099,0.425641,0.430037,0.428571
150958099,0.427839,0.430037,0.430769
151975500,0.430037,0.431502,0.431502
151975500,0.419048,0.430769,0.430037
151975500,0.432967,0.425641,0.432967
152977299,0.431502,0.435165,0.432967
152977299,0.432234,0.432234,0.432234
152977299,0.430769,0.432967,0.421978
153973399,0.432234,0.427106,0.432967
153973399,0.427839,0.432234,0.432234
153973399,0.428571,0.434432,0.432234
153973399,0.428571,0.435165,0.430037
155107300,0.425641,0.430769,0.430037
155107300,0.426374,0.429304,0.427106
155107300,0.425641,0.430037,0.427106
156071499,0.427106,0.430769,0.430769
156071499,0.415385,0.428571,0.427839
156071499,0.428571,0.420513,0.434432
156965799,0.429304,0.431502,0.432234
157002399,0.430037,0.430769,0.430037
157002399,0.430769,0.426374,0.432234
157002399,0.431502,0.424176,0.436630
157956399,0.432234,0.435897,0.432967
157956399,0.431502,0.434432,0.432234
157956399,0.429304,0.434432,0.431502
193139700,0.430037,0.432234,0.430037
194005800,0.431502,0.433700,0.421245
194005800,0.425641,0.426374,0.428571
194005800,0.421978,0.427839,0.424908
194968800,0.423443,0.425641,0.424908
195029900,0.420513,0.424176,0.424908
195029900,0.421978,0.426374,0.415385
195029900,0.423443,0.426374,0.423443
196036900,0.413919,0.429304,0.425641
196036900,0.425641,0.427839,0.427106
196036900,0.426374,0.430769,0.428571
197023400,0.425641,0.427839,0.427106
197023400,0.429304,0.432234,0.430769
197023400,0.428571,0.432234,0.430769
197023400,0.429304,0.431502,0.431502
198019299,0.429304,0.432234,0.433700
198019299,0.428571,0.430037,0.433700
198019299,0.438095,0.433700,0.435165
198963599,0.432234,0.437363,0.435897
198963599,0.432234,0.433700,0.432234
198963599,0.430769,0.434432,0.430769
200076399,0.427839,0.430037,0.430037
200076399,0.425641,0.429304,0.428571
200076399,0.431502,0.429304,0.429304
200076399,0.424908,0.429304,0.425641
200971300,0.427106,0.427839,0.430769
200971300,0.428571,0.431502,0.430769
200971300,0.425641,0.428571,0.429304
201968800,0.429304,0.430769,0.431502
201968800,0.431502,0.433700,0.431502
201968800,0.427839,0.431502,0.431502
202963299,0.430037,0.431502,0.430769
202963299,0.428571,0.431502,0.431502
202963299,0.432234,0.434432,0.432234
202963299,0.428571,0.431502,0.430769
203959799,0.430037,0.432234,0.431502
203959799,0.429304,0.430769,0.432967
203959799,0.427106,0.430037,0.429304
205141099,0.424176,0.427839,0.428571
205141099,0.424908,0.426374,0.421245
205141099,0.425641,0.427839,0.430037
206047999,0.425641,0.426374,0.427839
206047999,0.428571,0.420513,0.431502
206047999,0.430769,0.432234,0.431502
206047999,0.430037,0.432967,0.432234
206992899,0.431502,0.435165,0.429304
206992899,0.430769,0.433700,0.432967
206992899,0.431502,0.432967,0.432234
207928499,0.431502,0.428571,0.432967
207928499,0.432234,0.430037,0.431502
243064599,0.430037,0.436630,0.432967
243064599,0.430037,0.420513,0.432967
244023799,0.424908,0.424908,0.424176
244221999,0.421245,0.427106,0.427106
244221999,0.426374,0.427839,0.427106
244221999,0.422711,0.424908,0.424908
245014999,0.410256,0.423443,0.423443
245014999,0.421245,0.425641,0.426374
246056499,0.424176,0.426374,0.424908
246056499,0.426374,0.430769,0.430037
246056499,0.425641,0.428571,0.425641
246056499,0.430037,0.430037,0.430769
246056499,0.427839,0.430769,0.430037
247068700,0.427839,0.432234,0.430769
247068700,0.427839,0.428571,0.430037
247068700,0.426374,0.430769,0.428571
248048199,0.425641,0.429304,0.427839
248048199,0.433700,0.435897,0.434432
248048199,0.432234,0.434432,0.433700
249046900,0.431502,0.424176,0.431502
249046900,0.432967,0.434432,0.432234
249046900,0.428571,0.431502,0.426374
249046900,0.427106,0.426374,0.429304
250091699,0.424908,0.429304,0.424908
250091699,0.427106,0.429304,0.430037
250091699,0.426374,0.429304,0.428571
250999199,0.426374,0.430037,0.430037
250999199,0.428571,0.432234,0.420513
250999199,0.430037,0.438095,0.432967
252023900,0.432234,0.436630,0.431502
252023900,0.430037,0.433700,0.432234
252023900,0.431502,0.432234,0.432234
252023900,0.431502,0.432234,0.431502
253178600,0.430769,0.432967,0.431502
253178600,0.429304,0.433700,0.430037
253178600,0.431502,0.432234,0.432234
255606899,0.430769,0.430037,0.432234
255606899,0.419048,0.435897,0.431502
255606899,0.414652,0.432967,0.430037
255606899,0.428571,0.430769,0.429304
255606899,0.424176,0.419780,0.428571
255606899,0.429304,0.429304,0.430037
255606899,0.427106,0.430037,0.430037
256078799,0.430037,0.430037,0.430037
256078799,0.429304,0.430037,0.429304
256078799,0.429304,0.431502,0.420513
258626900,0.421245,0.436630,0.433700
258626900,0.432234,0.433700,0.431502
258626900,0.432234,0.434432,0.421978
261592599,0.429304,0.435165,0.432967
293186199,0.430037,0.433700,0.430037
293186199,0.429304,0.431502,0.431502
293186199,0.421978,0.425641,0.427106
293186199,0.422711,0.426374,0.424176
294048900,0.420513,0.427839,0.424908
294048900,0.426374,0.425641,0.426374
294048900,0.423443,0.424908,0.423443
295033999,0.422711,0.424176,0.423443
295033999,0.424176,0.422711,0.424176
295033999,0.423443,0.425641,0.425641
295962199,0.424908,0.427839,0.425641
296024499,0.423443,0.425641,0.426374
296024499,0.424908,0.427839,0.425641
296024499,0.427106,0.430037,0.428571
297073299,0.411722,0.429304,0.430769
297073299,0.426374,0.432967,0.431502
297073299,0.427839,0.430037,0.428571
298072199,0.435897,0.435897,0.437363
298072199,0.432234,0.435897,0.434432
298072199,0.432967,0.435897,0.432967
298072199,0.429304,0.432967,0.432967
299325799,0.428571,0.429304,0.430037
299325799,0.427839,0.429304,0.425641
299325799,0.424176,0.427839,0.429304
301710200,0.424908,0.425641,0.424908
301710200,0.430037,0.425641,0.426374
301710200,0.429304,0.430037,0.427839
301710200,0.426374,0.427839,0.427839
301710200,0.427106,0.431502,0.427839
301710200,0.428571,0.430037,0.419048
301710200,0.427839,0.432234,0.431502
303105700,0.430769,0.435897,0.432234
303105700,0.431502,0.434432,0.431502
303105700,0.429304,0.431502,0.432967
303258600,0.431502,0.432234,0.432234
303258600,0.432234,0.433700,0.436630
303258600,0.429304,0.430769,0.430037
309962400,0.428571,0.432234,0.438095
309962400,0.427839,0.431502,0.429304
309962400,0.426374,0.428571,0.427106
309962400,0.419780,0.425641,0.422711
309962400,0.424176,0.427839,0.427839
309962400,0.427106,0.431502,0.427839
309962400,0.426374,0.427839,0.429304
309962400,0.427839,0.432234,0.430769
309962400,0.429304,0.432234,0.432967
309962400,0.429304,0.430769,0.432967
310087699,0.430037,0.430769,0.430769
310087699,0.428571,0.429304,0.431502
310087699,0.430037,0.433700,0.429304
342111799,0.427106,0.430769,0.431502
342111799,0.427839,0.431502,0.430037
343133699,0.422711,0.424176,0.424908
343133699,0.421978,0.428571,0.424908
343133699,0.421245,0.424908,0.423443
343998600,0.421245,0.424908,0.424176
343998600,0.421978,0.422711,0.423443
343998600,0.422711,0.424908,0.425641
344999299,0.421245,0.423443,0.423443
344999299,0.422711,0.425641,0.424908
344999299,0.422711,0.426374,0.426374
344999299,0.425641,0.427839,0.427839
346034899,0.424176,0.427839,0.425641
346034899,0.417582,0.430769,0.430769
346034899,0.430769,0.433700,0.419780
347519399,0.429304,0.432234,0.432234
347519399,0.428571,0.433700,0.431502
347519399,0.438095,0.440293,0.438095
348055299,0.435897,0.439560,0.435165
348094699,0.432967,0.435897,0.435165
348094699,0.435165,0.418315,0.434432
348094699,0.432967,0.433700,0.432967
350728199,0.431502,0.432967,0.430769
350728199,0.426374,0.430037,0.429304
350728199,0.425641,0.426374,0.429304
350728199,0.426374,0.429304,0.430037
350728199,0.428571,0.427839,0.429304
350728199,0.428571,0.430037,0.429304
350728199,0.430769,0.431502,0.430037
351608700,0.429304,0.432234,0.432234
351608700,0.430037,0.430769,0.430769
351608700,0.430769,0.431502,0.419780
352726199,0.432234,0.435897,0.432967
352726199,0.431502,0.432234,0.432234
352726199,0.432234,0.435897,0.431502
358025900,0.431502,0.430769,0.431502
358025900,0.432234,0.424176,0.431502
358025900,0.426374,0.435165,0.432967
358025900,0.427106,0.431502,0.430769
358025900,0.425641,0.430769,0.427839
358025900,0.426374,0.419780,0.428571
358025900,0.425641,0.429304,0.427839
358302099,0.427106,0.429304,0.427106
358302099,0.427839,0.417582,0.430769
358302099,0.429304,0.430769,0.431502
358302099,0.430037,0.432967,0.432234
358302099,0.429304,0.431502,0.430769
358302099,0.421978,0.431502,0.432234
358302099,0.431502,0.432234,0.433700
358302099,0.429304,0.433700,0.430769
392029099,0.427839,0.431502,0.430769
392029099,0.427839,0.430769,0.430037
392029099,0.418315,0.422711,0.423443
393028399,0.421978,0.424176,0.424176
393028399,0.420513,0.427839,0.425641
393028399,0.420513,0.426374,0.426374
394727699,0.422711,0.426374,0.421245
394727699,0.424908,0.425641,0.425641
394727699,0.424176,0.425641,0.427106
394727699,0.425641,0.425641,0.426374
395039199,0.425641,0.427106,0.426374
395039199,0.424908,0.430037,0.428571
395039199,0.426374,0.432234,0.427839
397092100,0.424176,0.430769,0.430769
397092100,0.427106,0.431502,0.430037
397092100,0.429304,0.428571,0.431502
397092100,0.425641,0.429304,0.429304
397092100,0.432234,0.436630,0.438828
397092100,0.435165,0.434432,0.435165
397092100,0.431502,0.434432,0.432234
398045199,0.432234,0.433700,0.430769
398045199,0.427106,0.432234,0.430037
398045199,0.428571,0.419780,0.430769
401060299,0.426374,0.429304,0.427106
401060299,0.429304,0.430037,0.427839
401060299,0.425641,0.429304,0.427839
404050800,0.424908,0.426374,0.427106
404050800,0.426374,0.431502,0.428571
404050800,0.430769,0.431502,0.430037
404050800,0.427839,0.430769,0.427839
404050800,0.424908,0.428571,0.427106
404050800,0.427106,0.431502,0.431502
404050800,0.428571,0.430769,0.430037
404139099,0.425641,0.431502,0.429304
404139099,0.429304,0.432234,0.431502
404139099,0.429304,0.431502,0.419048
404139099,0.429304,0.433700,0.430037
404139099,0.428571,0.431502,0.430769
404139099,0.428571,0.432234,0.431502
404139099,0.426374,0.428571,0.428571
404139099,0.422711,0.429304,0.425641
404139099,0.423443,0.425641,0.415385
404139099,0.427839,0.430037,0.419780
408027500,0.428571,0.430037,0.432234
408027500,0.429304,0.432967,0.429304
408027500,0.430037,0.432967,0.429304
408027500,0.429304,0.434432,0.431502
408027500,0.430037,0.430037,0.429304
408027500,0.430037,0.432234,0.435165
408027500,0.428571,0.434432,0.420513
440985199,0.429304,0.430769,0.431502
441973499,0.429304,0.435165,0.433700
441973499,0.423443,0.427106,0.416850
441973499,0.425641,0.429304,0.430037
442984399,0.428571,0.428571,0.418315
442984399,0.427106,0.428571,0.427839
442984399,0.424176,0.425641,0.429304
442984399,0.426374,0.426374,0.426374
443986500,0.423443,0.427106,0.416117
443986500,0.422711,0.425641,0.424908
443986500,0.423443,0.427839,0.416117
444931899,0.424908,0.430769,0.428571
444931899,0.428571,0.430037,0.419048
447291699,0.427839,0.429304,0.430037
447291699,0.427839,0.435165,0.430769
447291699,0.427106,0.430037,0.430769
447291699,0.429304,0.432234,0.432234
447291699,0.440293,0.439560,0.438828
447409000,0.425641,0.435165,0.436630
447409000,0.434432,0.438095,0.435165
447409000,0.430769,0.433700,0.431502
449195299,0.429304,0.434432,0.432234
449195299,0.428571,0.432234,0.431502
449195299,0.427106,0.428571,0.420513
449195299,0.426374,0.431502,0.430037
449195299,0.429304,0.430769,0.432234
449195299,0.427839,0.428571,0.427106
449195299,0.430037,0.430037,0.427839
449995999,0.428571,0.428571,0.430769
449995999,0.426374,0.432967,0.428571
449995999,0.429304,0.429304,0.427839
