timestamp	ch1	ch2	ch3
00:00:00.000	1.292308	1.320879	1.306227
00:00:00.000	1.304762	1.321612	1.306227
00:00:00.000	1.314286	1.317216	1.318681
00:00:00.001	1.306960	1.307692	1.318681
00:00:00.001	1.313553	1.320147	1.323810
00:00:00.002	1.315018	1.322344	1.336264
00:00:00.002	1.302564	1.315018	1.306227
00:00:00.002	1.290842	1.312088	1.293773
00:00:00.034	1.293773	1.317949	1.284982
00:00:00.035	1.308425	1.321612	1.304029
00:00:00.035	1.310623	1.318681	1.298168
00:00:00.036	1.299634	1.316484	1.263004
00:00:00.036	1.293773	1.309890	1.276923
00:00:00.036	1.303297	1.315751	1.366300
00:00:00.037	1.337729	1.324542	1.383883
00:00:00.037	1.374359	1.327473	1.386813
00:00:00.037	1.393407	1.322344	1.343590
00:00:00.038	1.347253	1.309890	1.295971
00:00:00.038	1.356044	1.320879	1.353114
00:00:00.038	1.334799	1.318681	1.366300
00:00:00.039	1.274725	1.317216	1.315018
00:00:00.039	1.274725	1.325275	1.323077
00:00:00.039	1.265201	1.320879	1.309890
00:00:00.040	1.297436	1.326007	1.308425
00:00:00.040	1.293773	1.321612	1.311355
00:00:00.041	1.301832	1.320147	1.312821
00:00:00.041	1.302564	1.315018	1.311355
00:00:00.041	1.276923	1.311355	1.306227
00:00:00.042	1.286447	1.322344	1.300366
00:00:00.042	1.284249	1.309890	1.295971
00:00:00.042	1.289377	1.319414	1.298168
00:00:00.043	1.298168	1.323077	1.306227
00:00:00.043	1.341392	1.320147	1.316484
00:00:00.043	1.369231	1.312821	1.336264
00:00:00.045	1.386813	1.312088	1.335531
00:00:00.045	1.368498	1.325275	1.352381
00:00:00.046	1.363370	1.327473	1.326740
00:00:00.046	1.331868	1.323810	1.321612
00:00:00.046	1.303297	1.319414	1.314286
00:00:00.048	1.262271	1.318681	1.316484
00:00:00.048	1.280586	1.320879	1.315018
00:00:00.048	1.290110	1.318681	1.323077
00:00:00.048	1.276923	1.318681	1.318681
00:00:00.048	1.288645	1.318681	1.315018
00:00:00.048	1.304762	1.317949	1.306227
00:00:00.048	1.311355	1.314286	1.303297
00:00:00.048	1.325275	1.324542	1.323810
00:00:00.048	1.334799	1.328205	1.328205
00:00:00.051	1.334066	1.323810	1.323810
00:00:00.051	1.323810	1.315018	1.315751
00:00:00.051	1.298168	1.311355	1.312088
00:00:00.051	1.290110	1.313553	1.309890
00:00:00.051	1.295971	1.325275	1.314286
00:00:00.051	1.314286	1.328205	1.330403
00:00:00.051	1.299634	1.313553	1.305495
00:00:00.051	1.299634	1.312821	1.323077
00:00:00.052	1.327473	1.313553	1.328938
00:00:00.052	1.325275	1.325275	1.323810
00:00:00.084	1.310623	1.319414	1.315018
00:00:00.085	1.321612	1.326007	1.323077
00:00:00.085	1.315751	1.323810	1.323810
00:00:00.085	1.316484	1.318681	1.323810
00:00:00.086	1.310623	1.319414	1.323077
00:00:00.086	1.315018	1.324542	1.320879
00:00:00.086	1.323810	1.322344	1.318681
00:00:00.087	1.309890	1.321612	1.322344
00:00:00.087	1.313553	1.308425	1.302564
00:00:00.087	1.323810	1.319414	1.323810
00:00:00.088	1.323810	1.325275	1.320147
00:00:00.088	1.325275	1.320879	1.315018
00:00:00.089	1.332601	1.326007	1.321612
00:00:00.089	1.315018	1.312088	1.323077
00:00:00.089	1.320147	1.326740	1.326007
00:00:00.090	1.298168	1.320147	1.327473
00:00:00.090	1.306960	1.323810	1.327473
00:00:00.090	1.311355	1.318681	1.316484
00:00:00.091	1.340659	1.321612	1.320879
00:00:00.091	1.366300	1.312088	1.319414
00:00:00.091	1.356777	1.315751	1.317949
00:00:00.092	1.184615	1.311355	1.314286
00:00:00.092	1.248352	1.323077	1.322344
00:00:00.092	1.328938	1.318681	1.320879
00:00:00.093	1.338462	1.318681	1.311355
00:00:00.093	1.344322	1.321612	1.315751
00:00:00.094	1.348718	1.305495	1.300366
00:00:00.094	1.347253	1.324542	1.306960
00:00:00.094	1.288645	1.323810	1.317216
00:00:00.095	1.227839	1.323077	1.315018
00:00:00.095	1.244689	1.310623	1.304029
00:00:00.095	1.317949	1.317216	1.307692
00:00:00.096	1.341392	1.322344	1.344322
00:00:00.096	1.323077	1.323077	1.350916
00:00:00.096	1.330403	1.323810	1.354579
00:00:00.097	1.349451	1.324542	1.358242
00:00:00.097	1.341392	1.325275	1.329670
00:00:00.097	1.324542	1.318681	1.306960
00:00:00.098	1.317949	1.326007	1.294505
00:00:00.098	1.297436	1.326740	1.299634
00:00:00.099	1.288645	1.323810	1.300366
00:00:00.099	1.264469	1.316484	1.323077
00:00:00.099	1.267399	1.319414	1.336264
00:00:00.100	1.341392	1.320879	1.323077
00:00:00.100	1.372894	1.317949	1.300366
00:00:00.100	1.352381	1.317949	1.342857
00:00:00.101	1.338462	1.318681	1.349451
00:00:00.101	1.330403	1.323077	1.330403
00:00:00.101	1.306227	1.326007	1.310623
00:00:00.102	1.273993	1.317949	1.279853
00:00:00.134	1.251282	1.313553	1.279121
00:00:00.134	1.252747	1.323810	1.271795
00:00:00.135	1.273260	1.318681	1.271062
00:00:00.135	1.276923	1.312088	1.290110
00:00:00.135	1.353846	1.320147	1.347253
00:00:00.136	1.345788	1.325275	1.383883
00:00:00.136	1.336264	1.317949	1.400733
00:00:00.136	1.336996	1.312821	1.384615
00:00:00.137	1.372161	1.320147	1.388278
00:00:00.137	1.381685	1.325275	1.361172
00:00:00.138	1.365568	1.322344	1.331136
00:00:00.138	1.344322	1.309890	1.298168
00:00:00.138	1.341392	1.318681	1.293040
00:00:00.139	1.338462	1.327473	1.308425
00:00:00.139	1.286447	1.326007	1.303297
00:00:00.140	1.259341	1.320879	1.306960
00:00:00.140	1.257875	1.314286	1.304762
00:00:00.140	1.320879	1.309158	1.304762
00:00:00.140	1.346520	1.317216	1.311355
00:00:00.142	1.302564	1.308425	1.303297
00:00:00.142	1.316484	1.327473	1.326007
00:00:00.142	1.306960	1.320147	1.317216
00:00:00.142	1.284982	1.322344	1.321612
00:00:00.142	1.276923	1.317216	1.310623
00:00:00.143	1.271795	1.314286	1.318681
00:00:00.143	1.300366	1.328205	1.323810
00:00:00.143	1.296703	1.313553	1.306960
00:00:00.144	1.307692	1.320147	1.320147
00:00:00.144	1.334799	1.323810	1.323810
00:00:00.144	1.339927	1.327473	1.323810
00:00:00.145	1.323810	1.320147	1.321612
00:00:00.145	1.309158	1.318681	1.307692
00:00:00.145	1.304762	1.325275	1.319414
00:00:00.148	1.299634	1.315751	1.309158
00:00:00.148	1.316484	1.324542	1.326007
00:00:00.148	1.302564	1.314286	1.321612
00:00:00.148	1.315751	1.321612	1.326740
00:00:00.148	1.301099	1.313553	1.314286
00:00:00.148	1.312088	1.320879	1.315751
00:00:00.148	1.323077	1.320879	1.317216
00:00:00.148	1.314286	1.309890	1.305495
00:00:00.150	1.314286	1.323810	1.326740
00:00:00.150	1.304029	1.315018	1.314286
00:00:00.150	1.320879	1.323810	1.326007
00:00:00.150	1.306960	1.320879	1.320147
00:00:00.150	1.315751	1.336264	1.323810
00:00:00.150	1.315751	1.334799	1.327473
00:00:00.151	1.300366	1.320147	1.321612
00:00:00.151	1.304029	1.320147	1.323077
00:00:00.152	1.314286	1.312088	1.310623
00:00:00.184	1.314286	1.303297	1.314286
00:00:00.184	1.301099	1.288645	1.308425
00:00:00.184	1.328938	1.303297	1.334799
00:00:00.185	1.316484	1.304029	1.316484
00:00:00.185	1.306227	1.309890	1.315751
00:00:00.185	1.307692	1.322344	1.318681
00:00:00.186	1.294505	1.314286	1.321612
00:00:00.186	1.304762	1.326007	1.331136
00:00:00.187	1.306960	1.324542	1.315751
00:00:00.187	1.302564	1.334066	1.326007
00:00:00.187	1.296703	1.325275	1.320879
00:00:00.188	1.303297	1.318681	1.320879
00:00:00.188	1.305495	1.324542	1.320879
00:00:00.188	1.323810	1.328205	1.325275
00:00:00.189	1.355311	1.325275	1.313553
00:00:00.189	1.358242	1.318681	1.292308
00:00:00.189	1.323810	1.312821	1.308425
00:00:00.190	1.306227	1.318681	1.312088
00:00:00.190	1.300366	1.314286	1.314286
00:00:00.191	1.312088	1.324542	1.328205
00:00:00.191	1.301832	1.320147	1.321612
00:00:00.191	1.298901	1.314286	1.320147
00:00:00.192	1.315751	1.317949	1.321612
00:00:00.192	1.309158	1.310623	1.309158
00:00:00.192	1.354579	1.321612	1.322344
00:00:00.193	1.386081	1.315018	1.313553
00:00:00.193	1.356777	1.323810	1.339194
00:00:00.193	1.221978	1.318681	1.346520
00:00:00.194	1.268864	1.315018	1.339927
00:00:00.194	1.297436	1.327473	1.328938
00:00:00.194	1.285714	1.321612	1.301832
00:00:00.195	1.297436	1.315751	1.295238
00:00:00.195	1.305495	1.316484	1.289377
00:00:00.196	1.297436	1.313553	1.271795
00:00:00.196	1.295238	1.311355	1.295238
00:00:00.196	1.331868	1.327473	1.358242
00:00:00.197	1.347985	1.331868	1.375824
00:00:00.197	1.322344	1.312821	1.320147
00:00:00.197	1.326740	1.312821	1.303297
00:00:00.198	1.308425	1.317949	1.331136
00:00:00.198	1.329670	1.326740	1.300366
00:00:00.198	1.326740	1.318681	1.270330
00:00:00.199	1.351648	1.328938	1.284982
00:00:00.199	1.352381	1.323077	1.320147
00:00:00.199	1.335531	1.313553	1.309890
00:00:00.200	1.317949	1.310623	1.330403
00:00:00.200	1.292308	1.321612	1.347253
00:00:00.201	1.221245	1.323077	1.327473
00:00:00.202	1.238828	1.326007	1.334799
