t_ns,ch1_V,ch2_V,ch3_V
0,1.304762,1.315018,1.290842
0,1.308425,1.312821,1.306227
814200,1.328205,1.306227,1.323810
814200,1.316484,1.318681,1.311355
814200,1.304762,1.312088,1.294505
2002299,1.326007,1.337729,1.321612
2002299,1.312821,1.312088,1.315751
2002299,1.323077,1.327473,1.323077
2919399,1.315751,1.312088,1.319414
2919399,1.319414,1.314286,1.315751
2919399,1.326740,1.316484,1.341392
3819599,1.309158,1.317949,1.309158
3819599,1.300366,1.305495,1.305495
3819599,1.320879,1.334066,1.323810
4828599,1.294505,1.315018,1.306227
4828599,1.308425,1.325275,1.327473
5767399,1.331868,1.312088,1.311355
5767399,1.356044,1.311355,1.347253
5767399,1.328938,1.310623,1.290110
6923299,1.331136,1.322344,1.281319
6923299,1.306227,1.312088,1.279121
6923299,1.302564,1.311355,1.294505
7957900,1.313553,1.336264,1.318681
7957900,1.300366,1.316484,1.304762
7957900,1.339927,1.310623,1.353114
9254199,1.306960,1.319414,1.338462
9254199,1.303297,1.319414,1.314286
9254199,1.323810,1.331868,1.339194
10395399,1.310623,1.308425,1.317216
10395399,1.312821,1.310623,1.312088
10993599,1.305495,1.314286,1.312821
10993599,1.320147,1.306227,1.331868
10993599,1.300366,1.306960,1.318681
11877800,1.318681,1.328205,1.323077
11877800,1.304029,1.313553,1.317216
11877800,1.307692,1.304029,1.312088
12795799,1.312088,1.306960,1.317216
12795799,1.308425,1.310623,1.312088
12795799,1.328938,1.315018,1.306960
13777599,1.328205,1.309158,1.327473
13777599,1.316484,1.320879,1.332601
13777599,1.325275,1.328938,1.309890
14843400,1.328205,1.326007,1.327473
14843400,1.336996,1.336264,1.340659
15806800,1.312088,1.329670,1.321612
15806800,1.319414,1.312088,1.315751
15806800,1.342857,1.336264,1.347253
16758199,1.315018,1.309890,1.307692
16758199,1.298901,1.318681,1.287912
16758199,1.287179,1.310623,1.283516
55152499,1.304029,1.313553,1.295971
55152499,1.311355,1.312088,1.300366
55152499,1.308425,1.308425,1.304029
55152499,1.329670,1.310623,1.342857
55152499,1.306227,1.317216,1.322344
55152499,1.300366,1.310623,1.306227
55152499,1.323810,1.321612,1.323810
55152499,1.323810,1.309890,1.320879
55152499,1.319414,1.309890,1.323810
55152499,1.333333,1.321612,1.317949
55152499,1.328938,1.309158,1.323810
55152499,1.317216,1.312088,1.320147
55152499,1.309890,1.309158,1.310623
55152499,1.306960,1.312088,1.314286
55152499,1.307692,1.320147,1.323077
55152499,1.315018,1.316484,1.308425
55152499,1.312088,1.319414,1.306960
55787299,1.308425,1.314286,1.298168
55874199,1.301832,1.313553,1.299634
55874199,1.294505,1.312088,1.298901
57505199,1.305495,1.312821,1.297436
57505199,1.312088,1.312088,1.291575
57505199,1.320147,1.312821,1.295238
60772600,1.315018,1.309158,1.295971
60772600,1.315018,1.315018,1.301832
60772600,1.313553,1.312088,1.300366
60772600,1.309158,1.317949,1.293040
60772600,1.331868,1.333333,1.322344
