frame_idx,t_ns
0,0
1,32510800
2,66009400
3,96376900
4,126844500
5,160528100
6,192685100
7,223711400
8,259689800
9,288893200
10,335310700
11,368483600
12,398780300
13,433170700
14,462630600
15,494858700
16,530112600
17,558518400
18,590424400
19,624174600
20,655204000
21,686255300
22,734387000
23,767824500
24,798430300
25,830845900
26,863672500
27,894498000
28,927437400
29,960529200
30,990250500
31,1022749600
32,1056457800
33,1087636200
34,1135332300
35,1168398200
36,1204618200
37,1232427600
38,1264074000
39,1295940800
40,1327916000
41,1361160500
42,1392250400
43,1425557500
44,1462492100
45,1491614900
46,1546388600
47,1568141800
48,1599652000
49,1631741100
50,1665505800
51,1699437400
52,1734594200
53,1761609800
54,1793409000
55,1829141000
56,1855761800
57,1894151200
58,1939408100
59,1974021200
60,2001229200
61,2032664900
62,2063001300
63,2102146400
64,2127423700
65,2160260400
66,2195054500
67,2223441300
68,2255617900
69,2293680600
70,2342874900
