t_s,amp
0.000000,0.014465
0.010000,0.018616
0.020000,0.011322
0.023220,0.015137
0.033220,0.011169
0.043220,0.008820
0.046440,0.009277
0.056440,0.009827
0.066440,0.010345
0.069660,0.084778
0.079660,0.016541
0.089660,0.014740
0.092880,0.014648
0.102880,0.013641
0.112880,0.009705
0.116100,0.014587
0.126100,0.017151
0.136100,0.015564
0.139320,0.011322
0.149320,0.012695
0.159320,0.011963
0.162540,0.012756
0.172540,0.011688
0.182540,0.012543
0.185760,0.013245
0.195760,0.018066
0.205760,0.013580
0.208980,0.014893
0.218980,0.015656
0.228980,0.011444
0.232200,0.009277
0.242200,0.015228
0.252200,0.008911
0.255420,0.012421
0.265420,0.012634
0.275420,0.008698
0.278639,0.010681
0.288639,0.009369
0.298639,0.008148
0.301859,0.011108
0.311859,0.016327
0.321859,0.005951
0.325079,0.007843
0.335079,0.008423
0.345079,0.006042
0.348299,0.007599
0.358299,0.008972
0.368299,0.009583
0.371519,0.011139
0.381519,0.010193
0.391519,0.009399
0.394739,0.011658
0.404739,0.010498
0.414739,0.004669
0.417959,0.009521
0.427959,0.009491
0.437959,0.007355
0.441179,0.011566
0.451179,0.015594
0.461179,0.009735
0.464399,0.013458
0.474399,0.012390
0.484399,0.007690
0.487619,0.014343
0.497619,0.011810
0.507619,0.008850
0.510839,0.022583
0.520839,0.011505
0.530839,0.013580
0.534059,0.013397
0.544059,0.016602
0.554059,0.009399
0.557279,0.015747
0.567279,0.016418
0.577279,0.012543
0.580499,0.016296
0.590499,0.012543
0.600499,0.013519
0.603719,0.014923
0.613719,0.012695
0.623719,0.011963
0.626939,0.020844
0.636939,0.018127
0.646939,0.007568
0.650159,0.023712
0.660159,0.018433
0.670159,0.017303
0.673379,0.018250
0.683379,0.024231
0.693379,0.012817
0.696599,0.018799
0.706599,0.015869
0.716599,0.019073
0.719819,0.018066
0.729819,0.020782
0.739819,0.012848
0.743039,0.019073
0.753039,0.020111
0.763039,0.018921
0.766259,0.016937
0.776259,0.014282
0.786259,0.011963
0.789478,0.014435
0.799478,0.017059
0.809478,0.008606
0.812698,0.016083
0.822698,0.018768
0.832698,0.016632
0.835918,0.015503
0.845918,0.017487
0.855918,0.013855
0.859138,0.014984
0.869138,0.012909
0.879138,0.011536
0.882358,0.016083
0.892358,0.020599
0.902358,0.004669
0.905578,0.017761
0.915578,0.013916
0.925578,0.006348
0.928798,0.013702
0.938798,0.014404
0.948798,0.012939
0.952018,0.016327
0.962018,0.013550
0.972018,0.013428
0.975238,0.007965
0.985238,0.013397
0.995238,0.008453
0.998458,0.007843
1.008458,0.012756
1.018458,0.007629
1.021678,0.009491
1.031678,0.012817
1.041678,0.005981
1.044898,0.011993
1.054898,0.010071
1.064898,0.005280
1.068118,0.012787
1.078118,0.011810
1.088118,0.013214
1.091338,0.013062
1.101338,0.013367
1.111338,0.007874
1.114558,0.011078
1.124558,0.008545
1.134558,0.010071
1.137778,0.010284
1.147778,0.010010
1.157778,0.011261
1.160998,0.012207
1.170998,0.014557
1.180998,0.009521
1.184218,0.011047
1.194218,0.011536
1.204218,0.009552
1.207438,0.013672
1.217438,0.015503
1.227438,0.014435
1.230658,0.014557
1.240658,0.015259
1.250658,0.015930
1.253878,0.017334
1.263878,0.011993
1.273878,0.015961
1.277098,0.016907
1.287098,0.019562
1.297098,0.014526
1.300317,0.016846
1.310317,0.024536
1.320317,0.010529
1.323537,0.024872
1.333537,0.032501
1.343537,0.013031
1.346757,0.032562
1.356757,0.028839
1.366757,0.027344
1.369977,0.032501
1.379977,0.032074
1.389977,0.026520
1.393197,0.029510
1.403197,0.026550
1.413197,0.025848
1.416417,0.026978
1.426417,0.017792
1.436417,0.014618
1.439637,0.017731
1.449637,0.017700
1.459637,0.020111
1.462857,0.020111
1.472857,0.018646
1.482857,0.015411
1.486077,0.011414
1.496077,0.012482
1.506077,0.022125
1.509297,0.016144
1.519297,0.017853
1.529297,0.014313
1.532517,0.015656
1.542517,0.013306
1.552517,0.006592
1.555737,0.012848
1.565737,0.010986
1.575737,0.009308
1.578957,0.009979
1.588957,0.012390
1.598957,0.013458
1.602177,0.010406
1.612177,0.010986
1.622177,0.011322
1.625397,0.014008
1.635397,0.012299
1.645397,0.009705
1.648617,0.012329
1.658617,0.010529
1.668617,0.014069
1.671837,0.010803
1.681837,0.011566
1.691837,0.008972
1.695057,0.010468
1.705057,0.013489
1.715057,0.011932
1.718277,0.020905
1.728277,0.016632
1.738277,0.013763
1.741497,0.011627
1.751497,0.008972
1.761497,0.009918
1.764717,0.015381
1.774717,0.015594
1.784717,0.011536
1.787937,0.020813
1.797937,0.027130
1.807937,0.014435
1.811156,0.013367
1.821156,0.011047
1.831156,0.008301
1.834376,0.015442
1.844376,0.014587
1.854376,0.010651
1.857596,0.010223
1.867596,0.006958
1.877596,0.013672
1.880816,0.012115
1.890816,0.011841
1.900816,0.013214
1.904036,0.017639
1.914036,0.015656
1.924036,0.013794
1.927256,0.016388
1.937256,0.019409
1.947256,0.017853
1.950476,0.023285
1.960476,0.023651
1.970476,0.019043
1.973696,0.023132
1.983696,0.027679
1.993696,0.018005
1.996916,0.024597
2.006916,0.020325
2.016916,0.021332
2.020136,0.028320
2.030136,0.026215
2.040136,0.020752
2.043356,0.028137
2.053356,0.022339
2.063356,0.014740
2.066576,0.021362
2.076576,0.019287
2.086576,0.011902
2.089796,0.020691
2.099796,0.018890
2.109796,0.017395
2.113016,0.016327
2.123016,0.016418
2.133016,0.014954
2.136236,0.019989
2.146236,0.018219
2.156236,0.018158
2.159456,0.023956
2.169456,0.018951
2.179456,0.017822
2.182676,0.023346
2.192676,0.018524
2.202676,0.019287
2.205896,0.015869
2.215896,0.028290
2.225896,0.027985
2.229116,0.023346
2.239116,0.021973
2.249116,0.027710
2.252336,0.020233
2.262336,0.018768
2.272336,0.017548
2.275556,0.019165
2.285556,0.015503
2.295556,0.010071
2.298776,0.015808
2.308776,0.010925
2.318776,0.013367
2.321995,0.013367
2.331995,0.010193
2.341995,0.010376
2.345215,0.010498
2.355215,0.009216
2.365215,0.008179
2.368435,0.009918
2.378435,0.009949
2.388435,0.009888
2.391655,0.012634
2.401655,0.017487
2.411655,0.016876
2.414875,0.020905
2.424875,0.017731
2.434875,0.013214
2.438095,0.011841
2.448095,0.014252
2.458095,0.010712
2.461315,0.016327
2.471315,0.015350
2.481315,0.013824
2.484535,0.015259
2.494535,0.018402
2.504535,0.013428
2.507755,0.016815
2.517755,0.018158
2.527755,0.010040
2.530975,0.012238
2.540975,0.015625
2.550975,0.014191
2.554195,0.014252
2.564195,0.017303
2.574195,0.011780
2.577415,0.016174
2.587415,0.013977
2.597415,0.004608
2.600635,0.015228
2.610635,0.014801
2.620635,0.012543
2.623855,0.018860
2.633855,0.019440
2.643855,0.016571
2.647075,0.017365
2.657075,0.019196
2.667075,0.017334
2.670295,0.017334
2.680295,0.019318
2.690295,0.013885
2.693515,0.015564
2.703515,0.009827
2.713515,0.014618
2.716735,0.016876
2.726735,0.016968
2.736735,0.011169
2.739955,0.018555
2.749955,0.016113
2.759955,0.012726
2.763175,0.019684
2.773175,0.018982
2.783175,0.012604
2.786395,0.016571
2.796395,0.020233
2.806395,0.009125
2.809615,0.023590
2.819615,0.019287
2.829615,0.013580
2.832834,0.022339
2.842834,0.018829
2.852834,0.025787
2.856054,0.019409
2.866054,0.018860
2.876054,0.014526
2.879274,0.017303
2.889274,0.011902
2.899274,0.007996
2.902494,0.011536
2.912494,0.012146
2.922494,0.007477
2.925714,0.008972
2.935714,0.213074
2.945714,0.206757
2.948934,0.022125
2.958934,0.020081
2.968934,0.010376
2.972154,0.018311
2.982154,0.013763
2.992154,0.008148
2.995374,0.011597
3.005374,0.013306
3.015374,0.015533
3.018594,0.018677
3.028594,0.018768
3.038594,0.013824
3.041814,0.017456
3.051814,0.014984
3.061814,0.014374
3.065034,0.014771
3.075034,0.019043
3.085034,0.014374
3.088254,0.019287
3.098254,0.013580
3.108254,0.016113
3.111474,0.012207
3.121474,0.015106
3.131474,0.014771
3.134694,0.013336
3.144694,0.019989
3.154694,0.015686
3.157914,0.017151
3.167914,0.016937
3.177914,0.011810
3.181134,0.013031
3.191134,0.014069
3.201134,0.011292
3.204354,0.014648
3.214354,0.015381
3.224354,0.011749
3.227574,0.015198
3.237574,0.013947
3.247574,0.009247
3.250794,0.015259
