frame_idx,t_ns
0,0
1,32700458
2,65819458
3,98533333
4,131105541
5,163600500
6,194916250
7,227813708
8,263435333
9,294352625
10,327417375
11,360517166
12,394509208
13,427234666
14,461820666
15,494234416
16,526356041
17,559408833
18,592121833
19,625650458
20,660565583
21,691889583
22,725342291
23,758013375
24,791787666
25,824191208
26,857925708
27,889728083
28,922730291
29,955475500
30,992335875
31,1025234625
32,1055794458
33,1089460958
34,1121662125
35,1153700125
36,1190310875
37,1222506458
38,1254847000
39,1285989208
40,1320499583
41,1351634041
42,1384623291
43,1417507750
44,1452139375
45,1483841875
46,1517170208
47,1549792416
48,1615652708
49,1648429541
50,1683439000
51,1714605291
52,1747682666
53,1780954958
54,1813482875
55,1847112416
56,1881661583
57,1912601041
58,1946488541
59,1978868250
60,2011807833
61,2046935333
62,2083107875
63,2115298833
64,2147691250
65,2179157250
66,2211737750
67,2243032500
68,2276599541
69,2308377666
70,2344397583
71,2377350833
72,2410473583
73,2442184708
74,2474634708
75,2506555125
76,2541007041
77,2573581500
78,2605849666
79,2638606041
80,2672665666
81,2706288208
82,2737440916
83,2770386500
84,2803587541
85,2836593208
86,2870819541
87,2904257541
88,2935648125
89,2968489375
90,3001853625
91,3034402125
92,3068984333
93,3099693750
94,3132954416
95,3165715500
96,3198613291
97,3231663250
98,3266726958
99,3298679250
100,3332315708
101,3364601791
102,3397578458
103,3430600583
104,3464573333
105,3497000291
106,3530033291
107,3595459708
108,3631402541
109,3661860958
110,3702654416
111,3733901375
112,3760370750
