frame_idx,t_ns
0,0
1,31173500
2,63653292
3,96254459
4,131246709
5,164106209
6,195610084
7,228375084
8,263139209
9,295213917
10,327737250
11,360957042
12,395023709
13,427045750
14,460647375
15,491243042
16,525466584
17,558514459
18,591556959
19,626069917
20,657362584
21,689859792
22,723127584
23,755700500
24,788688250
25,821841167
26,855559125
27,888717292
28,921761209
29,954368167
30,986941500
31,1021848000
32,1053920959
33,1086958042
34,1118929500
35,1151923875
36,1184921792
37,1220183750
38,1256044959
39,1286270542
40,1317966459
41,1350696375
42,1386409250
43,1418044542
44,1450393625
45,1482876500
46,1516380542
47,1548511917
48,1582609334
49,1614476209
50,1647509625
51,1683183375
52,1714797584
53,1746962250
54,1779996375
55,1813248584
56,1845747709
57,1880569834
58,1911759542
59,1944721792
60,1978403084
61,2011469542
62,2043629625
63,2078328042
64,2109429500
65,2142716084
66,2175542417
67,2209981292
68,2242998500
69,2279466000
70,2311078959
71,2341598667
72,2376482167
73,2407248500
74,2440619417
75,2510119834
76,2537164417
77,2573248584
78,2605364750
79,2637241084
80,2670363334
81,2704795834
82,2736671375
83,2769299084
84,2802833709
85,2835406625
86,2867920000
87,2903477084
88,2934084417
89,2968268417
90,3001227792
91,3033338834
92,3067276834
93,3101507042
94,3132692417
95,3165467584
96,3199071542
97,3231918375
98,3267818292
99,3302129292
100,3333811625
101,3368020834
102,3399396334
103,3433774375
104,3463878167
105,3497696709
106,3529277584
107,3562010334
108,3600454125
109,3631137709
110,3664399959
111,3696309334
112,3729490750
113,3762829625
114,3793876959
115,3825025375
116,3858078375
117,3892374542
118,3924061750
119,3956989375
120,3990175417
121,4023249959
122,4056174042
123,4091300959
124,4122368917
125,4156852542
126,4189412917
127,4221790834
128,4255425709
129,4290744292
130,4323124417
131,4361176084
132,4391494834
133,4423991084
134,4487916334
135,4520993042
136,4554436334
137,4586684959
138,4617794667
139,4656240750
140,4688441042
141,4720964375
142,4753673084
143,4784326167
144,4816954042
145,4848946000
146,4881446250
147,4915763375
148,4947623250
149,4980556959
150,5014084917
151,5045448542
152,5078738792
153,5113327792
154,5145996084
155,5178760875
156,5211879250
157,5244991375
158,5277994125
159,5312190167
160,5342695917
161,5375978500
162,5409093542
163,5448431292
164,5480023500
165,5511310625
166,5543958250
167,5578661334
168,5609509459
169,5642339250
170,5674038625
171,5715622542
172,5739856292
173,5780850417
174,5807126792
175,5838300292
176,5871052917
177,5906540250
178,5939367084
179,5971235625
180,6003438625
181,6037496875
182,6071073125
183,6104421000
184,6138706292
185,6170122167
186,6208717584
