frame_idx,t_ns
0,0
1,34141209
2,64568459
3,97609000
4,130896417
5,165006084
6,197355500
7,230055292
8,262709750
9,296460500
10,329679209
11,363627625
12,395824542
13,429154709
14,461217542
15,494530292
16,527413625
17,559812334
18,597745584
19,625518209
20,661894417
21,693073042
22,726276834
23,759114375
24,793678625
25,826101750
26,858063125
27,889335750
28,922154167
29,955814500
30,990050292
31,1021980500
32,1054565542
33,1087437500
34,1120641959
35,1153706417
36,1188258959
37,1220710334
38,1253471292
39,1286335542
40,1319557334
41,1352631209
42,1387135417
43,1418866209
44,1451815792
45,1484571834
46,1517831209
47,1551254334
48,1585717500
49,1617401375
50,1649508125
51,1682002667
52,1718947625
53,1748970750
54,1783825834
55,1817775709
56,1848907875
57,1879945750
58,1912796209
59,1948955500
60,1981192500
61,2013425959
62,2045239959
63,2077807875
64,2110573584
65,2176367167
66,2210746584
67,2242343125
68,2275389292
69,2308388125
70,2342172125
71,2375558375
72,2409371042
73,2440307750
74,2474026042
75,2506675209
76,2540138917
77,2573415792
78,2607837584
79,2639614334
80,2672166167
81,2704945292
82,2738761875
83,2774281667
84,2806441959
85,2838389792
86,2872867750
87,2905283250
88,2937123417
89,2968840584
90,3001862625
91,3040282334
92,3068431167
93,3104694750
94,3136255709
95,3167297542
96,3201388084
97,3233041834
98,3266284584
99,3299103292
100,3331747834
101,3364720084
102,3398169500
103,3430273584
104,3463049917
105,3496872750
106,3529960459
107,3563308542
108,3597426500
109,3629598334
110,3662530917
111,3695960125
112,3727776250
113,3761584459
114,3799791417
