t_s,amp
0.000000,0.072297
0.010000,0.082216
0.020000,0.077271
0.023220,0.093218
0.033220,0.095274
0.043220,0.073617
0.046440,0.083119
0.056440,0.028318
0.066440,0.015083
0.069660,0.022127
0.079660,0.024997
0.089660,0.021060
0.092880,0.020090
0.102880,0.024135
0.112880,0.019444
0.116100,0.028132
0.126100,0.045454
0.136100,0.020595
0.139320,0.073773
0.149320,0.072456
0.159320,0.062457
0.162540,0.072769
0.172540,0.071324
0.182540,0.076668
0.185760,0.065508
0.195760,0.060852
0.205760,0.051614
0.208980,0.053755
0.218980,0.052241
0.228980,0.023692
0.232200,0.046109
0.242200,0.040274
0.252200,0.038392
0.255420,0.036141
0.265420,0.047737
0.275420,0.035993
0.278639,0.050201
0.288639,0.043403
0.298639,0.041723
0.301859,0.037405
0.311859,0.035804
0.321859,0.030517
0.325079,0.029910
0.335079,0.029040
0.345079,0.031726
0.348299,0.035487
0.358299,0.038833
0.368299,0.044375
0.371519,0.047325
0.381519,0.044056
0.391519,0.047144
0.394739,0.046721
0.404739,0.053568
0.414739,0.049170
0.417959,0.029173
0.427959,0.033857
0.437959,0.031256
0.441179,0.032030
0.451179,0.031482
0.461179,0.031149
0.464399,0.031515
0.474399,0.029245
0.484399,0.022569
0.487619,0.025271
0.497619,0.023063
0.507619,0.021076
0.510839,0.022486
0.520839,0.019338
0.530839,0.015182
0.534059,0.014978
0.544059,0.011654
0.554059,0.008341
0.557279,0.010763
0.567279,0.010939
0.577279,0.006794
0.580499,0.007499
0.590499,0.006713
0.600499,0.006496
0.603719,0.006911
0.613719,0.008000
0.623719,0.003822
0.626939,0.007199
0.636939,0.007530
0.646939,0.004320
0.650159,0.005689
0.660159,0.004269
0.670159,0.003631
0.673379,0.005127
0.683379,0.005445
0.693379,0.003301
0.696599,0.006582
0.706599,0.003026
0.716599,0.003672
0.719819,0.005543
0.729819,0.006785
0.739819,0.007184
0.743039,0.004772
0.753039,0.005272
0.763039,0.006042
0.766259,0.009864
0.776259,0.012813
0.786259,0.008927
0.789478,0.014196
0.799478,0.016823
0.809478,0.017049
0.812698,0.031517
0.822698,0.030466
0.832698,0.021106
0.835918,0.038757
0.845918,0.037655
0.855918,0.021211
0.859138,0.030854
0.869138,0.034005
0.879138,0.021200
0.882358,0.022071
0.892358,0.020026
0.902358,0.007681
0.905578,0.015514
0.915578,0.015678
0.925578,0.008354
0.928798,0.011183
0.938798,0.007567
0.948798,0.007017
0.952018,0.006732
0.962018,0.010948
0.972018,0.011679
0.975238,0.013254
0.985238,0.006557
0.995238,0.007139
0.998458,0.006393
1.008458,0.010370
1.018458,0.006921
1.021678,0.015057
1.031678,0.013080
1.041678,0.010856
1.044898,0.021952
1.054898,0.026083
1.064898,0.021442
1.068118,0.024718
1.078118,0.023016
1.088118,0.020092
1.091338,0.026390
1.101338,0.018293
1.111338,0.016863
1.114558,0.020489
1.124558,0.023463
1.134558,0.022672
1.137778,0.015135
1.147778,0.014939
1.157778,0.009254
1.160998,0.014854
1.170998,0.011640
1.180998,0.008228
1.184218,0.011631
1.194218,0.014692
1.204218,0.013292
1.207438,0.020221
1.217438,0.019240
1.227438,0.011742
1.230658,0.018145
1.240658,0.019073
1.250658,0.013021
1.253878,0.017382
1.263878,0.016319
1.273878,0.011901
1.277098,0.016498
1.287098,0.015667
1.297098,0.016944
1.300317,0.021383
1.310317,0.020532
1.320317,0.019824
1.323537,0.023967
1.333537,0.024648
1.343537,0.014567
1.346757,0.022848
1.356757,0.018346
1.366757,0.018142
1.369977,0.016463
1.379977,0.014560
1.389977,0.010914
1.393197,0.013805
1.403197,0.018641
1.413197,0.020303
1.416417,0.020855
1.426417,0.008905
1.436417,0.010347
1.439637,0.014827
1.449637,0.009636
1.459637,0.006939
1.462857,0.008061
1.472857,0.005157
1.482857,0.006151
1.486077,0.007306
1.496077,0.010410
1.506077,0.005854
1.509297,0.006931
1.519297,0.009921
1.529297,0.006933
1.532517,0.011362
1.542517,0.011995
1.552517,0.007782
1.555737,0.008230
1.565737,0.007879
1.575737,0.004230
1.578957,0.006189
1.588957,0.005036
1.598957,0.004343
1.602177,0.005400
1.612177,0.009575
1.622177,0.006038
1.625397,0.007047
