frame_idx,t_ns
0,0
1,33122667
2,65826542
3,98813958
4,132966708
5,164587875
6,198091167
7,230332875
8,263095333
9,295351000
10,329645083
11,361365083
12,393898625
13,429637750
14,461445125
15,493607250
16,527637000
17,559083708
18,593647583
19,626118750
20,658245917
21,692618500
22,726198250
23,758284458
24,791368083
25,823740417
26,857626125
27,890314708
28,924540792
29,956022000
30,988643583
31,1022278000
32,1055276042
33,1088074708
34,1122573417
35,1154823917
36,1187785500
37,1220721958
38,1254892333
39,1286789333
40,1320840792
41,1352945875
42,1385270042
43,1418104750
44,1455259208
45,1487233083
46,1519403750
47,1550888958
48,1583774375
49,1616287917
50,1652372208
51,1684619375
52,1717557292
53,1748303167
54,1781545000
55,1813837458
56,1846737833
57,1880948167
58,1914154625
59,1945739583
60,1978910167
61,2012009083
62,2045334125
63,2078021875
64,2112248500
65,2144527833
66,2178480667
67,2210690542
68,2276864750
69,2309468083
70,2343939958
71,2375488583
72,2407948708
73,2441237000
74,2474190292
75,2510534000
76,2545737917
77,2577779125
78,2609649750
79,2641421208
80,2673719042
81,2705907292
82,2744388417
83,2776368083
84,2808075500
85,2840500958
86,2872601208
87,2904045458
88,2937020583
89,2969792333
90,3001653875
91,3035670792
92,3067878583
93,3101129417
94,3134948583
95,3166725208
96,3200310458
97,3233697833
98,3266680917
99,3299906875
100,3334729333
101,3366765417
102,3398461917
103,3431507833
104,3463956708
105,3497464333
106,3537297750
107,3567019792
108,3597670708
109,3633204042
110,3665719750
111,3697536000
112,3729672208
113,3762009500
114,3793905958
115,3833487125
116,3866477458
117,3898396042
118,3929138042
119,3961982125
120,3993339792
121,4025608625
122,4058024375
123,4092073292
124,4124315667
125,4156481167
126,4189254833
127,4222460083
128,4288038792
129,4321211917
130,4355532042
131,4387614083
132,4421720667
133,4454063958
134,4487550333
135,4520802542
136,4555612000
137,4585157875
138,4624205417
139,4654112875
140,4686774208
141,4722000208
142,4753984375
143,4787685333
144,4821982042
145,4853392167
