t_s,amp
0.000000,0.009899
0.010000,0.009111
0.020000,0.006230
0.023220,0.005822
0.033220,0.009333
0.043220,0.008865
0.046440,0.004991
0.056440,0.004983
0.066440,0.004740
0.069660,0.006764
0.079660,0.012308
0.089660,0.012512
0.092880,0.019542
0.102880,0.028272
0.112880,0.021191
0.116100,0.022740
0.126100,0.022739
0.136100,0.019218
0.139320,0.019947
0.149320,0.022198
0.159320,0.015998
0.162540,0.020259
0.172540,0.016151
0.182540,0.022457
0.185760,0.019539
0.195760,0.023339
0.205760,0.021250
0.208980,0.017115
0.218980,0.020103
0.228980,0.022567
0.232200,0.028739
0.242200,0.018832
0.252200,0.020922
0.255420,0.024197
0.265420,0.023033
0.275420,0.023975
0.278639,0.028565
0.288639,0.027859
0.298639,0.017084
0.301859,0.023582
0.311859,0.020583
0.321859,0.016453
0.325079,0.021681
0.335079,0.023229
0.345079,0.018392
0.348299,0.020884
0.358299,0.021825
0.368299,0.020750
0.371519,0.021694
0.381519,0.022586
0.391519,0.016662
0.394739,0.017034
0.404739,0.014764
0.414739,0.014818
0.417959,0.014356
0.427959,0.014506
0.437959,0.008471
0.441179,0.007438
0.451179,0.010339
0.461179,0.006498
0.464399,0.006611
0.474399,0.007158
0.484399,0.002367
0.487619,0.003742
0.497619,0.006458
0.507619,0.006736
0.510839,0.005708
0.520839,0.006757
0.530839,0.006337
0.534059,0.008206
0.544059,0.005041
0.554059,0.002731
0.557279,0.006657
0.567279,0.008528
0.577279,0.002956
0.580499,0.005219
0.590499,0.006440
0.600499,0.006128
0.603719,0.007186
0.613719,0.006635
0.623719,0.009370
0.626939,0.007171
0.636939,0.006447
0.646939,0.003385
0.650159,0.003714
0.660159,0.007545
0.670159,0.007677
0.673379,0.007265
0.683379,0.005379
0.693379,0.003932
0.696599,0.004011
0.706599,0.005140
0.716599,0.007371
0.719819,0.007624
0.729819,0.005478
0.739819,0.008396
0.743039,0.008341
0.753039,0.003556
0.763039,0.003786
0.766259,0.005989
0.776259,0.008202
0.786259,0.008565
0.789478,0.006844
0.799478,0.007421
0.809478,0.005930
0.812698,0.006618
0.822698,0.004210
0.832698,0.003529
0.835918,0.007425
0.845918,0.005377
0.855918,0.004206
0.859138,0.009309
0.869138,0.008124
0.879138,0.005176
0.882358,0.007809
0.892358,0.008094
0.902358,0.006286
0.905578,0.009461
0.915578,0.004518
0.925578,0.005215
0.928798,0.007353
0.938798,0.006579
0.948798,0.003500
0.952018,0.009340
0.962018,0.006278
0.972018,0.006694
0.975238,0.008750
0.985238,0.002667
0.995238,0.004088
0.998458,0.003529
1.008458,0.005302
1.018458,0.003141
1.021678,0.006635
1.031678,0.008540
1.041678,0.004429
1.044898,0.005936
1.054898,0.006823
1.064898,0.006439
1.068118,0.005709
1.078118,0.006321
1.088118,0.001605
1.091338,0.010562
1.101338,0.005699
1.111338,0.002288
1.114558,0.005695
1.124558,0.006029
1.134558,0.005109
1.137778,0.009159
1.147778,0.010018
1.157778,0.005094
1.160998,0.007495
1.170998,0.007247
1.180998,0.003330
1.184218,0.006133
1.194218,0.008130
1.204218,0.006631
1.207438,0.006445
1.217438,0.004699
1.227438,0.004910
1.230658,0.004880
1.240658,0.006571
1.250658,0.009083
1.253878,0.009438
1.263878,0.007504
1.273878,0.006579
1.277098,0.006358
1.287098,0.006857
1.297098,0.004917
1.300317,0.004774
1.310317,0.005393
1.320317,0.007072
1.323537,0.009439
1.333537,0.011730
1.343537,0.005907
1.346757,0.008890
1.356757,0.009872
1.366757,0.006892
1.369977,0.005530
1.379977,0.008787
1.389977,0.007312
1.393197,0.004537
1.403197,0.004844
1.413197,0.003453
1.416417,0.005543
1.426417,0.006503
1.436417,0.003940
1.439637,0.007279
1.449637,0.007023
1.459637,0.001854
1.462857,0.003952
1.472857,0.004248
1.482857,0.004888
1.486077,0.009247
1.496077,0.009264
1.506077,0.003397
1.509297,0.005105
1.519297,0.006184
1.529297,0.004782
1.532517,0.012203
1.542517,0.003904
1.552517,0.004161
1.555737,0.004169
1.565737,0.006607
1.575737,0.004974
1.578957,0.006350
1.588957,0.004560
1.598957,0.004410
1.602177,0.004703
1.612177,0.005636
1.622177,0.004351
1.625397,0.005718
1.635397,0.005575
1.645397,0.006424
1.648617,0.007069
1.658617,0.006862
1.668617,0.003590
