frame_idx,t_ns
0,0
1,34401667
2,67669000
3,100326084
4,131447875
5,165008917
6,198057209
7,230882000
8,263778000
9,298924334
10,329973917
11,363238292
12,396197459
13,428939917
14,462423250
15,495233792
16,529347375
17,561446209
18,594382417
19,627017875
20,660281667
21,693198250
22,727299625
23,759393792
24,792565167
25,824977667
26,858271125
27,891042375
28,923755959
29,961917917
30,992951959
31,1025450084
32,1056891334
33,1088814292
34,1155103584
35,1188494625
36,1221628000
37,1253095667
38,1286037542
39,1318932750
40,1352149667
41,1384670334
42,1419262917
43,1451686750
44,1484477792
45,1517599459
46,1550829959
47,1583837292
48,1618572625
49,1650612834
50,1683283167
51,1716278875
52,1749039834
53,1781806375
54,1816755334
55,1848145792
56,1880930375
57,1913834959
58,1946728042
59,1979557250
60,2012357417
61,2047737500
62,2082461500
63,2111039709
64,2146289709
65,2178983917
66,2210890334
67,2242945625
68,2279878292
69,2311766292
70,2343757917
71,2375942417
72,2408678167
73,2441150709
74,2475633250
75,2507211209
76,2540394792
77,2573399834
78,2607241209
79,2640016709
80,2672453375
81,2707608834
82,2739275834
83,2772089334
84,2805329834
85,2838356209
86,2871078417
87,2906006292
88,2938168792
89,2970762000
90,3002879459
91,3035496084
92,3068623250
93,3106760542
94,3137713625
95,3171653334
96,3203411167
97,3235264625
98,3267954459
99,3306170834
100,3332487459
101,3370298209
102,3402228334
103,3434173417
104,3466703125
105,3497963250
106,3531093334
107,3563836167
108,3595490792
109,3628129584
110,3661942625
111,3694863834
112,3727873917
113,3760183792
114,3794794375
115,3828420167
116,3861228417
117,3894592875
118,3926304709
119,3958617459
120,3994233000
121,4026449167
122,4058822042
123,4098607250
124,4126946500
125,4160477084
126,4195838375
